BenchTaxonName,BenchTaxonNameReferenceCode,TaxonConceptState,BiologicalCommunity,AlgalGroup,BenchTaxonProvisional,BenchTaxonHybrid,BU_ID,NADED_ID,BiodataTaxonName,BiodataCommonName,BiodataShortName,BiodataTaxonProvisional,BiodataTaxonHybrid,PublishedTaxonName,PublishedTaxonAuthority,ITIS_TSN,ITIS_MatchCode,PublishedSortOrder,PublishedTaxonLevel,ScientificName,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order_,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Variety,Form,TaxonVersionNumber
Gymnodinium sp. B UL 1996 NAWQA,"",Retired,Algae,Dinoflagellates,Y,N,"",1406008,Gymnodinium,"",GYM,Y,N,Gymnodinium,"","","",3000047,Genus,Gymnodinium,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"","","","","",13.2
Gymnodinium sp. C UL 1996 NAWQA,"",Retired,Algae,Dinoflagellates,Y,N,"",1406007,Gymnodinium,"",GYM,Y,N,Gymnodinium,"","","",3000048,Genus,Gymnodinium,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"","","","","",13.2
Gymnodinium albulum Lindemann,"",Current,Algae,Dinoflagellates,N,N,"","",Gymnodinium albulum,"",GYMalbul,N,N,Gymnodinium albulum,Lindemann,"","",3000049,Species,Gymnodinium albulum Lindemann,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"",Gymnodinium albulum,"","","",13.2
Gymnodinium albulum,"",Current,Algae,Dinoflagellates,N,N,"",1406004,Gymnodinium albulum,"",GYMalbul,N,N,Gymnodinium albulum,Lindemann,"","",3000050,Species,Gymnodinium albulum Lindemann,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"",Gymnodinium albulum,"","","",13.2
Gymnodinium inversum,"",Current,Algae,Dinoflagellates,N,N,"",1406005,Gymnodinium inversum,"",GYMinver,N,N,Gymnodinium inversum,Nygaard,"","",3000051,Species,Gymnodinium inversum Nygaard,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"",Gymnodinium inversum,"","","",13.2
Gymnodinium inversum Nygaard,"",Current,Algae,Dinoflagellates,N,N,"","",Gymnodinium inversum,"",GYMinver,N,N,Gymnodinium inversum,Nygaard,"","",3000052,Species,Gymnodinium inversum Nygaard,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"",Gymnodinium inversum,"","","",13.2
Gymnodinium mirabile,"",Current,Algae,Dinoflagellates,N,N,"",1406010,Gymnodinium mirabile,"",GYMmirab,N,N,Gymnodinium mirabile,Penard,"","",3000053,Species,Gymnodinium mirabile Penard,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"",Gymnodinium mirabile,"","","",13.2
Gymnodinium mirabile Penard,"",Current,Algae,Dinoflagellates,N,N,"","",Gymnodinium mirabile,"",GYMmirab,N,N,Gymnodinium mirabile,Penard,"","",3000054,Species,Gymnodinium mirabile Penard,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"",Gymnodinium mirabile,"","","",13.2
Gymnodinium palustre Schilling,"",Current,Algae,Dinoflagellates,N,N,"","",Gymnodinium palustre,"",GYMpalus,N,N,Gymnodinium palustre,Schilling,"","",3000055,Species,Gymnodinium palustre Schilling,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"",Gymnodinium palustre,"","","",13.2
Gymnodinium palustre,Prescott 1962 Pl 107 Fig 3,Current,Algae,Dinoflagellates,N,N,"",1406011,Gymnodinium palustre,"",GYMpalus,N,N,Gymnodinium palustre,Schilling,"","",3000056,Species,Gymnodinium palustre Schilling,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"",Gymnodinium palustre,"","","",13.2
Gymnodinium varians Maskell,"",Current,Algae,Dinoflagellates,N,N,"","",Gymnodinium varians,"",GYMvaran,N,N,Gymnodinium varians,Maskell,"","",3000057,Species,Gymnodinium varians Maskell,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"",Gymnodinium varians,"","","",13.2
Gymnodinium varians,Popovsky 1990 Pg 119 Fig 98,Current,Algae,Dinoflagellates,N,N,"",1406006,Gymnodinium varians,"",GYMvaran,N,N,Gymnodinium varians,Maskell,"","",3000058,Species,Gymnodinium varians Maskell,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gymnodinium,"",Gymnodinium varians,"","","",13.2
Gyrodinium sp.,"",Current,Algae,Dinoflagellates,Y,N,"",1408000,Gyrodinium,"",GYR,Y,N,Gyrodinium,"","","",3000059,Genus,Gyrodinium,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Gyrodinium,"","","","","",13.2
Katodinium sp.,"",Current,Algae,Dinoflagellates,Y,N,"",1426000,Katodinium,"",KAT,Y,N,Katodinium,"","","",3000060,Genus,Katodinium,Pyrrhophyta,"","",Dinophyceae,"","","",Gymnodiniales,"","","",Gymondiniaceae,"","",Katodinium,"","","","","",13.2
Glenodinium cf. penardiforme ANDRESEN,"",Retired,Algae,Dinoflagellates,Y,N,"",1396008,Glenodinium,"",GLE,Y,N,Glenodinium,"","","",3000061,Genus,Glenodinium,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Glenodiniaceae,"","",Glenodinium,"","","","","",13.2
Glenodinium sp.,"",Current,Algae,Dinoflagellates,Y,N,"",1396000,Glenodinium,"",GLE,Y,N,Glenodinium,"","","",3000062,Genus,Glenodinium,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Glenodiniaceae,"","",Glenodinium,"","","","","",13.2
Glenodinium sp. A UL 1996 NAWQA,"",Retired,Algae,Dinoflagellates,Y,N,"",1396006,Glenodinium,"",GLE,Y,N,Glenodinium,"","","",3000063,Genus,Glenodinium,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Glenodiniaceae,"","",Glenodinium,"","","","","",13.2
Hemidinium sp.,"",Current,Algae,Dinoflagellates,Y,N,"",1415000,Hemidinium,"",HEM,Y,N,Hemidinium,"","","",3000064,Genus,Hemidinium,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Glenodiniopsidaceae,"","",Hemidinium,"","","","","",13.2
Ceratium cf. carolinianum ANDRESEN,"",Retired,Algae,Dinoflagellates,Y,N,"",1334002,Ceratium,"","",Y,N,Ceratium,"","","",3000065,Genus,Ceratium,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Oxytoxaceae,"","",Ceratium,"","","","","",13.2
Ceratium carolinianum Jørgensen,"",Current,Algae,Dinoflagellates,N,N,"","",Ceratium carolinianum,"",CERCAR,N,N,Ceratium carolinianum,Jørgensen,"","",3000066,Species,Ceratium carolinianum Jørgensen,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Oxytoxaceae,"","",Ceratium,"",Ceratium carolinianum,"","","",13.2
Ceratium carolinianum,Prescott 1962 Pl 92 Figs 2-3,Current,Algae,Dinoflagellates,N,N,"",1334001,Ceratium carolinianum,"",CERCAR,N,N,Ceratium carolinianum,Jørgensen,"","",3000067,Species,Ceratium carolinianum Jørgensen,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Oxytoxaceae,"","",Ceratium,"",Ceratium carolinianum,"","","",13.2
Ceratium hirundinella (Möller) Dujardin,"",Current,Algae,Dinoflagellates,N,N,"","",Ceratium hirundinella,"",CERhirud,N,N,Ceratium hirundinella,(Möller) Dujardin,"","",3000068,Species,Ceratium hirundinella (Möller) Dujardin,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Oxytoxaceae,"","",Ceratium,"",Ceratium hirundinella,"","","",13.2
Ceratium hirundinella,Prescott 1962 Pl 92 Figs 4-5,Current,Algae,Dinoflagellates,N,N,"",1334000,Ceratium hirundinella,"",CERhirud,N,N,Ceratium hirundinella,(Möller) Dujardin,"","",3000069,Species,Ceratium hirundinella (Möller) Dujardin,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Oxytoxaceae,"","",Ceratium,"",Ceratium hirundinella,"","","",13.2
Dinosphaera palustris (Lemmermann) Kofoid and Michener,"",Current,Algae,Dinoflagellates,N,N,"","",Dinosphaera palustris,"",DIIpalus,N,N,Dinosphaera palustris,(Lemmermann) Kofoid and Michener,"","",3000070,Species,Dinosphaera palustris (Lemmermann) Kofoid and Michener,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Peridiniaceae,"","",Dinosphaera,"",Dinosphaera palustris,"","","",13.2
Dinosphaera palustris,Popovsky 1990 Pg 27 Fig 24 and Pg 217 Fig 234,Current,Algae,Dinoflagellates,N,N,"",1371001,Dinosphaera palustris,"",DIIpalus,N,N,Dinosphaera palustris,(Lemmermann) Kofoid and Michener,"","",3000071,Species,Dinosphaera palustris (Lemmermann) Kofoid and Michener,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Peridiniaceae,"","",Dinosphaera,"",Dinosphaera palustris,"","","",13.2
Peridiniopsis sp.,"",Current,Algae,Dinoflagellates,Y,N,"",1456004,Peridiniopsis,"",PEP,Y,N,Peridiniopsis,"","","",3000072,Genus,Peridiniopsis,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Peridiniaceae,"","",Peridiniopsis,"","","","","",13.2
Peridiniopsis borgei Lemmermann,"",Current,Algae,Dinoflagellates,N,N,"","",Peridiniopsis borgei,"",PEPborge,N,N,Peridiniopsis borgei,Lemmermann,"","",3000073,Species,Peridiniopsis borgei Lemmermann,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Peridiniaceae,"","",Peridiniopsis,"",Peridiniopsis borgei,"","","",13.2
Peridiniopsis borgei,Popovsky 1990 Pg 196 Fig 211,Current,Algae,Dinoflagellates,N,N,"",1456001,Peridiniopsis borgei,"",PEPborge,N,N,Peridiniopsis borgei,Lemmermann,"","",3000074,Species,Peridiniopsis borgei Lemmermann,Pyrrhophyta,"","",Dinophyceae,"","","",Peridiniales,"","","",Peridiniaceae,"","",Peridiniopsis,"",Peridiniopsis borgei,"","","",13.2
