code;region;
Titicac_Ttcc-l-24;Titicaca-lake;
Titicac_Ttcc-l-25;Titicaca-lake;
Titicac_Ttcc-l-26;Titicaca-lake;
Titicac_Ttcc-l-27a;Titicaca-lake;
Titicac_Ttcc-l-27b;Titicaca-lake;
Titicac_Ttcc-l-28;Titicaca-lake;
Titicac_Ttcc-l-29;Titicaca-lake;
Titicac_Ttcc-l-30;Titicaca-lake;
Titicac_Ttcc-l-31;Titicaca-lake;
Titicac_Ttcc-l-32;Titicaca-lake;
Titicac_Ttcc-l-33;Titicaca-lake;
Titicac_Ttcc-l-34;Titicaca-lake;
Titicac_Ttcc-l-35;Titicaca-lake;
Titicac_Ttcc-l-36;Titicaca-lake;
Titicac_Ttcc-l-37;Titicaca-lake;
Titicac_Ttcc-s-1;Titicaca-lake;
Titicac_Ttcc-s-2;Titicaca-lake;
Titicac_Ttcc-s-3;Titicaca-lake;
Titicac_Ttcc-s-4;Titicaca-lake;
Titicac_Ttcc-s-5;Titicaca-lake;
Titicac_Ttcc-s-6;Titicaca-lake;
Titicac_Ttcc-s-7;Titicaca-lake;
Titicac_Ttcc-s-8;Titicaca-lake;
Titicac_Ttcc-s-9;Titicaca-lake;
Titicac_Ttcc-s-10;Titicaca-lake;
Titicac_Ttcc-s-11;Titicaca-lake;
Titicac_Ttcc-s-12;Titicaca-lake;
Titicac_Ttcc-s-13;Titicaca-lake;
Titicac_Ttcc-s-14;Titicaca-lake;
Titicac_Ttcc-s-15;Titicaca-lake;
Titicac_Ttcc-s-16;Titicaca-lake;
Titicac_Ttcc-s-17;Titicaca-lake;
Titicac_Ttcc-s-18;Titicaca-lake;
Titicac_Ttcc-s-19;Titicaca-lake;
Titicac_Ttcc-s-20;Titicaca-lake;
Titicac_Ttcc-s-21;Titicaca-lake;
Titicac_Ttcc-s-22;Titicaca-lake;
Titicac_Ttcc-s-23;Titicaca-lake;
Titicac_Ttcc-s-24;Titicaca-lake;
Titicac_Ttcc-s-25;Titicaca-lake;
Titicac_Ttcc-s-26;Titicaca-lake;
Titicac_YunguyBy1;Titicaca-lake;
Titicac_YunguyBy2;Titicaca-lake;
Titicac_YunguyBy3;Titicaca-lake;
Titicac_YunguyBy4;Titicaca-lake;
Titicac_YunguyBy5;Titicaca-lake;
Titicac_YunguyBy6;Titicaca-lake;
Titicac_YunguyBy7;Titicaca-lake;
Titicac_YunguyBy8;Titicaca-lake;
Titicac_YunguyBy9;Titicaca-lake;
Ttcc-wt_Huatajat1;Titicaca-watershed;
Ttcc-wt_Huatajat2;Titicaca-watershed;
Ttcc-wt_Huatajat3;Titicaca-watershed;
Ttcc-wt_IlavRivr1;Titicaca-watershed;
Ttcc-wt_SuchsRvr1;Titicaca-watershed;
Ttcc-wt_SuchsRvr2;Titicaca-watershed;
Ttcc-wt_SuchsRvr3;Titicaca-watershed;
Ttcc-wt_SuchsRvr4;Titicaca-watershed;
Ttcc-wt_IsldelSl;Titicaca-watershed;
Ttcc-wt_IlavRivr2;Titicaca-watershed;
