taxon_original;harmonized_taxon_names;revised_harmonized_taxon_name
Meridion circulaire;Meridion circulare;Meridion circulare
Meridion circulare;Meridion circulare;Meridion circulare
Microcostatus sp. 1 SORATA;Microcostatus sp. 1 SORATA;Microcostatus sp. 1 SORATA
Navicula gibbula Cl. var. gibbula;Muelleria gibbula;Muelleria gibbula
Muelleria splendidula;Muelleria splendidula;Muelleria splendidula
Navicula  expansa Hagel. var. expansa;Navicula aff. cryptocephala;Navicula aff. cryptocephala
Navicula  gottlandica Grun. var. gottlandica;Navicula aff erifuga;Navicula aff. erifuga
Navicula aff. erifuga Lange Bertalot  ;Navicula aff. gallica;Navicula aff. gallica
Navicula sp. (aff. lapidosa);Navicula aff. gallica;Navicula aff. gallica
Navicula aff. lohmani Lange- Bertalot & Rumrich ;Navicula aff lapidosa;Navicula aff. lapidosa
Navicula aff luciae;Navicula aff lohmanii;Navicula aff. lohmanii
Navicula aff. cryptocephala;Navicula aff luciae;Navicula aff. luciae
Navicula aff. gallica;Navicula aff. subtilissima;Navicula aff. subtilissima
Navicula aff. gallica;Navicula aff. subtilissima;Navicula aff. subtilissima
Navicula aff. subtilissima;Navicula altiplanensis;Navicula altiplanensis
Navicula aff. subtilissima;Navicula altiplanensis;Navicula altiplanensis
Navicula altiplanensis;Navicula altiplanensis;Navicula altiplanensis
Navicula altiplanensis;Navicula amphibola;Navicula amphibola
Navicula altiplanensis;Navicula angelica;Navicula angelica
Navicula  amphibola Cl. var. amphibola;Navicula anglica var subsalsa;Navicula anglica var. subsalsa
Navicula angelica;Navicula angusta;Navicula angusta
Navicula anglica var. subsalsa (Grun.) Cl.;Navicula angusta;Navicula angusta
Navicula angusta;Navicula angusta;Navicula angusta
Navicula angusta;Navicula angusta;Navicula angusta
Navicula angusta;Navicula angusta;Navicula angusta
Navicula  angusta Grun. var. angusta;Navicula angusta;Navicula angusta
Navicula angustata;Navicula angusta;Navicula angusta
Navicula angustura Grun. var angusta;Navicula angusta;Navicula angusta
Navicula angusta;Navicula angusta;Navicula angusta
Navicula angusta Grunow;Navicula angusta;Navicula angusta
Navicula angusta;Navicula angusta;Navicula angusta
Navicula angustata;Navicula antonii;Navicula antonii
Navicula angusta Grunow;Navicula arvensis;Navicula arvensis
Navicula antonii;Navicula arvensis;Navicula arvensis
Navicula arvensis;Navicula arvensis;Navicula arvensis
Navicula  arvensis Hust. var. arvensis;Navicula atacamana;Navicula atacamana
Navicula arvensis Hustedt;Navicula atacamana;Navicula atacamana
Navicula atacamana;Navicula bicephala;Navicula bicephala
Navicula atacamana;Navicula broetzii;Navicula broetzii
Navicula  bicephala Hust. var. bicephala   ;Navicula canalis;Navicula canalis
Navicula broetzii Lange Bertalot & Reichardt ;Navicula capitatoradiata;Navicula capitatoradiata
Navicula  canalis Patr. var. canalis;Navicula capitatoradiata;Navicula capitatoradiata
Navicula capitatoradiata;Navicula capitatoradiata;Navicula capitatoradiata
Navicula capitatoradiata;Navicula capitatoradiata;Navicula capitatoradiata
Navicula capitatoradiata;Navicula capitatoradiata;Navicula capitatoradiata
Navicula capitatoradiata;Navicula capitatoradiata;Navicula capitatoradiata
Navicula capitatoradiata;Navicula capitatoradiata;Navicula capitatoradiata
Navicula  capitatoradiata (Germain);Navicula capitatoradiata;Navicula capitatoradiata
Navicula salinarum var. Intermedia;Navicula capitatoradiata;Navicula capitatoradiata
Navicula salinarum var. intermedia (Grun.) Cl.;Navicula capitatoradiata;Navicula capitatoradiata
Navicula capitatoradiata;Navicula capitatoradiata;Navicula capitatoradiata
Navicula capitatoradiata;Navicula capitatoradiata;Navicula capitatoradiata
Navicula capitatoradiata Germain  ;Navicula capitatoradiata;Navicula capitatoradiata
Navicula capitatoradiata Germain;Navicula capitatoradiata;Navicula capitatoradiata
Navicula capitatoradiata;Navicula cari;Navicula cari
Navicula capitatoradiata;Navicula cari;Navicula cari
Navicula cari;Navicula cari;Navicula cari
Navicula cari cinesa;Navicula cari;Navicula cari
Navicula  graciloides Mayer var. graciloides;Navicula cariocincta;Navicula cariocincta
Navicula cari ;Navicula cariocincta;Navicula cariocincta
Navicula cariocincta;Navicula cascadensis;Navicula cascadensis
Navicula cariocincta;Navicula caterva;Navicula caterva
Navicula cascadensis Sov. var. cascadensis;Navicula cf chiarae;Navicula cf. chiarae
Navicula caterva Hohn et Hellermann;Navicula cf chiarae;Navicula cf. chiarae
Navicula sp. (cf. N chiarae);Navicula cf chiarae;Navicula cf. chiarae
Navicula sp. (cf. N chiarae);Navicula cf cryptotenella;Navicula cf. cryptotenella
Navicula sp. (cf. N chiarae);Navicula cf detenta;Navicula cf. detenta
Navicula cf cryptotenella;Navicula cf dilucida;Navicula cf. dilucida
Navicula cf detenta;Navicula cf electrolytifuga;Navicula cf. electrolytifuga
Navicula cf dilucida;Navicula cf gerlofii;Navicula cf. gerlofii
Navicula cf electrolytifuga;Navicula cf groschopfii;Navicula cf. groschopfii
Navicula cf gerlofii;Navicula cf lauca;Navicula cf. lauca
Navicula cf groschopfii;Navicula cf lauca;Navicula cf. lauca
Navicula cf lauca;Navicula cf leistikowii;Navicula cf. leistikowii
Navicula cf lauca;Navicula cf leptostriata;Navicula cf. leptostriata
Navicula cf leistikowii;Navicula cf lundii;Navicula cf. lundii
Navicula sp. (cf N. leptostriata);Navicula cf lundii;Navicula cf. lundii
Navicula cf. lundii Reichardt;Navicula cf mediocris;Navicula cf. mediocris
Navicula cf. lundii Reichardt;Navicula cf minuscula;Navicula cf. minuscula
Navicula cf mediocris;Navicula cf radiosa;Navicula cf. radiosa
Navicula sp. (cf. N. minuscula);Navicula cf veneta;Navicula cf. veneta
Navicula cf radiosa;Navicula cf veneta;Navicula cf. veneta
Navicula cf veneta;Navicula cf vitabunda;Navicula cf. vitabunda
Navicula sp. (cf. N. veneta);Navicula cf wildii;Navicula cf. wildii
Navicula sp (N. cf. vitabunda);Navicula cf wildii;Navicula cf. wildii
Navicula cf wildii;Navicula cincta;Navicula cincta
Navicula cf wildii;Navicula cincta;Navicula cincta
Navicula cincta;Navicula cincta;Navicula cincta
Navicula cincta;Navicula cincta;Navicula cincta
Navicula cincta;Navicula cincta;Navicula cincta
Navicula cincta Ehrenberg      ;Navicula cincta;Navicula cincta
Navicula cincta;Navicula cincta var rostrata;Navicula cincta var. rostrata
Navicula cincta;Navicula concamerata;Navicula concamerata
Navicula  cincta var. rostrata Reim.;Navicula contenta;Navicula contenta
Navicula concamerata;Navicula crateri;Navicula crateri
Navicula contenta;Navicula criptotenelloides;Navicula criptotenelloides
Navicula crateri;Navicula criptotenelloides;Navicula criptotenelloides
Navicula cryptotenelloides;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptotenello‹des;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryotocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryotocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula  cryptocephala (Ktzing) var. cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala Ku?tzing      ;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala Ktzing;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala;Navicula cryptocephala;Navicula cryptocephala
Navicula cryptocephala Ktzing;Navicula cryptocephaloides;Navicula cryptocephaloides
Navicula cryptocephala;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptocephaloides;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella Lange-Bertalot;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula cryptotenella;Navicula cryptotenella
Navicula cryptotenella;Navicula densilineolata;Navicula densilineolata
Navicula cryptotenella Lange-Bertalot;Navicula densilineolata;Navicula densilineolata
Navicula pseudolanceolata denselineolata;Navicula diluviana;Navicula diluviana
Navicula desilineolata;Navicula distans;Navicula distans
Navicula diluviana;Navicula duerrenbergiana;Navicula duerrenbergiana
Navicula distans;Navicula erifuga;Navicula erifuga
Navicula duerrenbergiana;Navicula erifuga;Navicula erifuga
Navicula erifuga;Navicula erifuga;Navicula erifuga
Navicula erifuga;Navicula erifuga;Navicula erifuga
Navicula erifuga;Navicula escambia;Navicula escambia
Navicula erifuga;Navicula exigua;Navicula exigua
Navicula  schroeteri var. escambia Patr.;Navicula exigua;Navicula exigua
Navicula exigua;Navicula exigua var 1;Navicula exigua var. 1
Navicula exigua;Navicula exigua var capitata;Navicula exigua var. capitata
Navicula  exigua var. 1 (13æm, 8æm, 8 striae/10æm);Navicula expansa;Navicula expansa
Navicula  exigua var. capitata Patr.;Navicula fluens;Navicula fluens
Navicula fluens;Navicula formenterae;Navicula formenterae
Navicula formenterae;Navicula gallica var. laevissima;Navicula gallica var. laevissima
Navicula gallica var laevissima;Navicula globulifera;Navicula globulifera
Navicula  globulifera Hust. var. globulifera;Navicula gondwana;Navicula gondwana
Navicula  gondwana Lange-Bertalot;Navicula gondwana;Navicula gondwana
Navicula gondwana;Navicula gottlandica;Navicula gottlandica
Navicula gracilis ;Navicula gracilis;Navicula gracilis
Navicula graciloides;Navicula graciloides;Navicula graciloides
Navicula gregaria;Navicula gregaria;Navicula gregaria
Navicula gregaria;Navicula gregaria;Navicula gregaria
Navicula gregaria;Navicula gregaria;Navicula gregaria
Navicula gregaria;Navicula gregaria;Navicula gregaria
Navicula gregaria Donkin;Navicula gregaria;Navicula gregaria
Navicula gregaria Donkin;Navicula gregaria;Navicula gregaria
Navicula  gysingensis Foged var. gysingensis;Navicula gysingensis;Navicula gysingensis
Navicula  hambergii Hust. var. hambergii;Navicula hambergii;Navicula hambergii
Navicula  hambergii Hust. var. 1 (32æm, 11æm, 10 striae/10æm);Navicula hambergii var 1;Navicula hambergii var. 1
Navicula heimansioides;Navicula heimansioides sensu;Navicula heimansioides sensu
Navicula heimansioides;Navicula heimansioides sensu;Navicula heimansioides sensu
Navicula hermansioides sensu;Navicula heimansioides sensu;Navicula heimansioides sensu
Navicula hermansioides sensu;Navicula heimansioides sensu;Navicula heimansioides sensu
Navicula heimansioides;Navicula heimansioides sensu;Navicula heimansioides sensu
Navicula heufleri var. leptocephala (Brun. ex Grun.) H.Per.;Navicula heufleri var leptocephala;Navicula heufleri var. leptocephala
Navicula  ilopangoensis Hust. var. ilopangoensis;Navicula ilopangoensis;Navicula ilopangoensis
Navicula incertata;Navicula incertata;Navicula incertata
Navicula jaernfeltii;Navicula jaernfeltii;Navicula jaernfeltii
Navicula kuripanensis;Navicula kuripanensis;Navicula kuripanensis
Navicula lanceolata;Navicula lanceolata;Navicula lanceolata
Navicula lanceolata (Agardh) Ktzing;Navicula lanceolata;Navicula lanceolata
Navicula laterorostrata;Navicula laterorostrata;Navicula laterorostrata
Navicula lauca;Navicula lauca;Navicula lauca
Navicula lauca;Navicula lauca;Navicula lauca
Navicula lauca;Navicula lauca;Navicula lauca
Navicula lauca Rumrich & Lange-Bertalot  ;Navicula lauca;Navicula lauca
Navicula leptostriata;Navicula leptostriata;Navicula leptostriata
Navicula libonensis;Navicula libonensis;Navicula libonensis
Navicula libonensis;Navicula libonensis;Navicula libonensis
Navicula libonensis;Navicula libonensis;Navicula libonensis
Navicula libonensis Schoemann   ;Navicula libonensis;Navicula libonensis
Navicula libonensis Schoeman;Navicula libonensis;Navicula libonensis
Navicula longicephala var. vilaplanii Lange-Bertalot et Sabater;Navicula longicephala var vilaplanii;Navicula longicephala var. vilaplanii
Navicula longirostis;Navicula longirostis;Navicula longirostis
Navicula luzonensis;Navicula luzonensis;Navicula luzonensis
Navicula margalithi;Navicula margalithii;Navicula margalithii
Navicula margalithii;Navicula margalithii;Navicula margalithii
Navicula libonensis;Navicula margalithii;Navicula margalithii
Navicula martinii;Navicula martinii;Navicula martinii
Navicula menisculus;Navicula menisculus;Navicula menisculus
Navicula microdigitoradiata;Navicula microdigitoradiata;Navicula microdigitoradiata
Navicula microdigitoradiata;Navicula microdigitoradiata;Navicula microdigitoradiata
Navicula notha;Navicula notha;Navicula notha
Navicula notha;Navicula notha;Navicula notha
Navicula notha;Navicula notha;Navicula notha
Navicula  notha Wllc. var. notha;Navicula notha;Navicula notha
Navicula notha;Navicula notha;Navicula notha
Navicula notha;Navicula notha;Navicula notha
Navicula notha Wallace;Navicula notha;Navicula notha
Navicula  odiosa Wllc. var. odiosa;Navicula odiosa;Navicula odiosa
Navicula odiosa;Navicula odiosa;Navicula odiosa
Navicula oligotraphenta;Navicula oligotraphenta;Navicula oligotraphenta
Navicula oligotraphenta;Navicula oligotraphenta;Navicula oligotraphenta
Navicula oligotraphenta;Navicula oligotraphenta;Navicula oligotraphenta
Navicula oligotraphenta;Navicula oligotraphenta;Navicula oligotraphenta
Navicula paramutica binodis;Navicula paramutica var binodis;Navicula paramutica var. binodis
Navicula paramutica binodis;Navicula paramutica var binodis;Navicula paramutica var. binodis
Navicula parinocota;Navicula parinocota;Navicula parinocota
Navicula parinocota;Navicula parinocota;Navicula parinocota
Navicula parinacota Rumrich & Lange-Bertalot   ;Navicula parinocota;Navicula parinocota
Navicula  paucivisitata Patr. var. paucivisitata;Navicula paucivisitata;Navicula paucivisitata
Navicula peregrina;Navicula peregrina;Navicula peregrina
Navicula peregrina;Navicula peregrina;Navicula peregrina
Navicula peregrina;Navicula peregrina;Navicula peregrina
Navicula peregrina;Navicula peregrina;Navicula peregrina
Navicula peregrina (Ehrenberg) Ku?tzing ;Navicula peregrina;Navicula peregrina
Navicula peregrinoides spp lagunarum;Navicula peregrinoides spp. lagunarum;Navicula peregrinoides spp. lagunarum
Navicula perminuta;Navicula perminuta;Navicula perminuta
Navicula  perobesa Hust. var. perobesa;Navicula perobesa;Navicula perobesa
Navicula phyllepta;Navicula phyllepta;Navicula phyllepta
Navicula phyllepta;Navicula phyllepta;Navicula phyllepta
Navicula porifera opportuna;Navicula porifera var opportuna;Navicula porifera var. opportuna
Navicula porifra var opportuna;Navicula porifera var opportuna;Navicula porifera var. opportuna
Navicula porifera var. opportuna;Navicula porifera var opportuna;Navicula porifera var. opportuna
Navicula  pseudocari Kras. var. pseudocari;Navicula pseudocari;Navicula pseudocari
Navicula  pseudofrickia Patr. var. pseudofrickia;Navicula pseudofrickia;Navicula pseudofrickia
Navicula pseudogracilis;Navicula pseudogracilis;Navicula pseudogracilis
Navicula pseudogracilis;Navicula pseudogracilis;Navicula pseudogracilis
Navicula pseudogracilis Hustedt  ;Navicula pseudogracilis;Navicula pseudogracilis
Navicula pseudolanceolata;Navicula pseudolanceolata;Navicula pseudolanceolata
Navicula  pseudolanceolata Lange-Bertalot;Navicula pseudolanceolata;Navicula pseudolanceolata
Navicula pseudolanceolata;Navicula pseudolanceolata;Navicula pseudolanceolata
Navicula pseudolitoricola;Navicula pseudolitoricola;Navicula pseudolitoricola
Navicula pseudolitoricola;Navicula pseudolitoricola;Navicula pseudolitoricola
Navicula  pseudoreinhardtii Patr. var. pseudoreinhardtii;Navicula pseudoreinhardtii;Navicula pseudoreinhardtii
Navicula pseudoventralis;Navicula pseudoventralis;Navicula pseudoventralis
Navicula pseudoventralis;Navicula pseudoventralis;Navicula pseudoventralis
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa;Navicula radiosa;Navicula radiosa
Navicula radiosa var parva;Navicula radiosa var parva;Navicula radiosa var. parva
Navicula radiosa var parva;Navicula radiosa var parva;Navicula radiosa var. parva
Navicula radiosafallax;Navicula radiosafallax;Navicula radiosafallax
Navicula radiosafallax;Navicula radiosafallax;Navicula radiosafallax
Navicula  radiosafallax Lange-Bertalot;Navicula radiosafallax;Navicula radiosafallax
Navicula radiosafallax;Navicula radiosafallax;Navicula radiosafallax
Navicula recens;Navicula recens;Navicula recens
Navicula reichardtiana;Navicula reichardtiana;Navicula reichardtiana
Navicula rechardtiana Lange-Bertalot;Navicula reichardtiana;Navicula reichardtiana
Navicula rhynchocephala;Navicula rhynchocephela;Navicula rhynchocephela
Navicula rhynchocephala;Navicula rhynchocephela;Navicula rhynchocephela
Navicula rhynchocephala;Navicula rhynchocephela;Navicula rhynchocephela
Navicula rhynchocephala;Navicula rhynchocephela;Navicula rhynchocephela
Navicula  rhynchocephela Ktz. var. rhynchocephela ;Navicula rhynchocephela;Navicula rhynchocephela
Navicula rhynchocephala Ktzing;Navicula rhynchocephela;Navicula rhynchocephela
Navicula rynchocephala;Navicula rhynchocephela;Navicula rhynchocephela
Navicula rynchocephala;Navicula rhynchocephela;Navicula rhynchocephela
Navicula rhynchocephala Ktzing;Navicula rhynchocephela;Navicula rhynchocephela
Navicula rhyncocephala;Navicula rhynchocephela;Navicula rhynchocephela
Navicula rhynocephela;Navicula rhynchocephela;Navicula rhynchocephela
Navicula rhynchocephela var. amphiceros (Kutz.) Grun.;Navicula rhynchocephela var amphiceros;Navicula rhynchocephela var. amphiceros
Navicula rhynchotella;Navicula rhynchotella;Navicula rhynchotella
Navicula rivolorum;Navicula rivolorum;Navicula rivolorum
Navicula rostellata;Navicula rostellata;Navicula rostellata
Navicula rostellata Ktzing;Navicula rostellata;Navicula rostellata
Navicula sabiniana;Navicula sabiniana;Navicula sabiniana
Navicula  salinarum var. 1 (30.5æm, 8.8æm, 12 striae/10æm);Navicula salinarum var 1;Navicula salinarum var. 1
Navicula salinicola;Navicula salinicola;Navicula salinicola
Navicula salinicola;Navicula salinicola;Navicula salinicola
Navicula salinicola;Navicula salinicola;Navicula salinicola
Navicula salinicola;Navicula salinicola;Navicula salinicola
Navicula salinicola;Navicula salinicola;Navicula salinicola
Navicula salinicola Hustedt var. salinicola;Navicula salinicola;Navicula salinicola
Navicula salinicola;Navicula salinicola;Navicula salinicola
Navicula schmasmannii;Navicula schmasmannii;Navicula schmasmannii
Navicula schroeteri var. 1 (28-30æm, 7.5æm, 11 striae/10æm);Navicula schroeteri;Navicula schroeteri
Navicula schroeteri var. escambia Patrick;Navicula schroeteri var escambia;Navicula schroeteri var. escambia
Navicula  seibigiana Lange-Bertalot (12æm, 5æm, 12 striae/10æm);Navicula seibigiana;Navicula seibigiana
Navicula  seminuloides Hust. var. seminuloides;Navicula seminuloides;Navicula seminuloides
Navicula seminulum var. hustedtii Patr.;Navicula seminulum var hustedtii;Navicula seminulum var. hustedtii
Navicula sp. 1 (N. spuria Cl.?);Navicula sp. 1;Navicula sp. 1
Navicula sp. 1;Navicula sp. 1 GALAPAGOS;Navicula sp. 1 GALAPAGOS
Navicula sp. 1 SORATA;Navicula sp. 1 SORATA;Navicula sp. 1 SORATA
Navicula sp.  10 (5umX1um);Navicula sp. 10;Navicula sp. 10
Navicula  sp.  11 (12umX5um, 12 stria/10um);Navicula sp. 11;Navicula sp. 11
Navicula sp.  12;Navicula sp. 12;Navicula sp. 12
Navicula  sp. 2 (27um,6.4um,30 striae/10um);Navicula sp. 2;Navicula sp. 2
Navicula sp. 2;Navicula sp. 2 GALAPAGOS;Navicula sp. 2 GALAPAGOS
Navicula sp. 2 SORATA;Navicula sp. 2 SORATA;Navicula sp. 2 SORATA
Navicula sp. 3 (25æm, 5æm, 16 striae/10æm);Navicula sp. 3;Navicula sp. 3
Navicula sp. 3 SORATA;Navicula sp. 3 SORATA;Navicula sp. 3 SORATA
Navicula sp. 4 (15æm, 3æm, indistinct striae);Navicula sp. 4;Navicula sp. 4
Navicula sp. 4;Navicula sp. 4 GALAPAGOS;Navicula sp. 4 GALAPAGOS
Navicula sp. 4 SORATA;Navicula sp. 4 SORATA;Navicula sp. 4 SORATA
Navicula  sp. 5 (26æm, 6æm, 10-12 striae/10æm);Navicula sp. 5;Navicula sp. 5
Navicula  sp. 6 (42æm, 14æm, 8 striae/10æm);Navicula sp. 6;Navicula sp. 6
Navicula sp. 6;Navicula sp. 6 GALAPAGOS;Navicula sp. 6 GALAPAGOS
Navicula  sp. 7 (41æm, 9æm, 13 striae/10æm);Navicula sp. 7;Navicula sp. 7
Navicula sp. 7;Navicula sp. 7 GALAPAGOS;Navicula sp. 7 GALAPAGOS
Navicula  sp. 8 (25æm, 8.5æm, 16 striae/10æm);Navicula sp. 8;Navicula sp. 8
Navicula sp. 8;Navicula sp. 8 GALAPAGOS;Navicula sp. 8 GALAPAGOS
Navicula  sp. 9 (30æm, 9.5æm, 8 striae/10æm);Navicula sp. 9;Navicula sp. 9
Navicula sp1. BELEN;Navicula sp.1 BELEN;Navicula sp.1 BELEN
Navicula sp.1 BREA;Navicula sp.1 BREA;Navicula sp.1 BREA
Navicula sp.1 CAIMANA;Navicula sp.1 CAIMANA;Navicula sp.1 CAIMANA
Navicula sp 2;Navicula sp.1 CANCHUCA;Navicula sp.1 CANCHUCA
Navicula sp.1 CAUCA;Navicula sp.1 CAUCA;Navicula sp.1 CAUCA
Navicula sp;Navicula sp.1 CIENAGAS;Navicula sp.1 CIENAGAS
Navicula sp.1 DESAGUADERO3;Navicula sp.1 DESAGUADERO3;Navicula sp.1 DESAGUADERO3
Navicula nov. sp.;Navicula sp.1 DESCANSO;Navicula sp.1 DESCANSO
Navicula sp.1 FONDOCOCHA;Navicula sp.1 FONDOCOCHA;Navicula sp.1 FONDOCOCHA
Navicula sp.1 KHARAKKOTA;Navicula sp.1 KHARAKKOTA;Navicula sp.1 KHARAKKOTA
Navicula sp.1 MISCANTI;Navicula sp.1 MISCANTI;Navicula sp.1 MISCANTI
Navicula sp.1 NAPALE;Navicula sp.1 NAPALE;Navicula sp.1 NAPALE
Navicula sp.1 NAZACARA;Navicula sp.1 NAZACARA;Navicula sp.1 NAZACARA
Navicula sp.1 SALCRO;Navicula sp.1 SALCRO;Navicula sp.1 SALCRO
Navicula sp.1 SANFRANCISCO;Navicula sp.1 SANFRANCISCO;Navicula sp.1 SANFRANCISCO
Navicula sp.1 SOLEDAD;Navicula sp.1 SOLEDAD;Navicula sp.1 SOLEDAD
Navicula sp.1 UMAPA;Navicula sp.1 UMAPA;Navicula sp.1 UMAPA
Navicula sp.1 UMAPA;Navicula sp.1 UMAPA;Navicula sp.1 UMAPA
Navicula sp.1;Navicula sp.13;Navicula sp.13
Navicula sp;Navicula sp.2 DESCANSO;Navicula sp.2 DESCANSO
Navicula sp.3;Navicula sp.3 GALAPAGOS;Navicula sp.3 GALAPAGOS
Navicula sp. 4 Lange-Bertalot  ;Navicula sp.4 POZUELOS;Navicula sp.4 POZUELOS
Navicula so. 5;Navicula sp.5 GALAPAGOS;Navicula sp.5 GALAPAGOS
Navicula f. paralella;Navicula spp.;Navicula spp.
Navicula spp;Navicula spp.;Navicula spp.
Navicula spp;Navicula spp.;Navicula spp.
Navicula sp.;Navicula spp.;Navicula spp.
Navicula sp.    ;Navicula spp.;Navicula spp.
Navicula spp;Navicula spp.;Navicula spp.
Navicula spp;Navicula spp.;Navicula spp.
Navicula spp;Navicula spp.;Navicula spp.
Navicula spp.;Navicula spp.;Navicula spp.
Navicula sp.;Navicula spp.;Navicula spp.
Navicula heuflleri;Navicula spp.;Navicula spp.
Navicula subinflatoides;Navicula subinflatoides;Navicula subinflatoides
Navicula  subrhynchocephala Hust. var. subrhynchocephala;Navicula subrhynchocephala;Navicula subrhynchocephala
Navicula subrotunda;Navicula subrotunda;Navicula subrotunda
Navicula subrotunda;Navicula subrotunda;Navicula subrotunda
Navicula subrotunda;Navicula subrotunda;Navicula subrotunda
Navicula symmetrica Patrick;Navicula symmetrica;Navicula symmetrica
Navicula symmetrica;Navicula symmetrica;Navicula symmetrica
Navicula tagiana;Navicula tagiana;Navicula tagiana
Navicula tenelloides;Navicula tenelloides;Navicula tenelloides
Navicula Toreadora sp. 1;Navicula Toereadora sp.1;Navicula Toereadora sp.1
Navicula tripunctata;Navicula tripunctata;Navicula tripunctata
Navicula tripunctata ;Navicula tripunctata;Navicula tripunctata
Navicula tripunctata;Navicula tripunctata;Navicula tripunctata
Navicula tripunctata;Navicula tripunctata;Navicula tripunctata
Navicula tripunctata;Navicula tripunctata;Navicula tripunctata
Navicula tripunctata;Navicula tripunctata;Navicula tripunctata
Navicula tripunctata (Mller) Bory;Navicula tripunctata;Navicula tripunctata
Navicula gracile;Navicula tripunctata;Navicula tripunctata
Navicula tripuncta;Navicula tripunctata;Navicula tripunctata
Navicula  tripunctata var. schizonemoides (V. H.) Patr.;Navicula tripunctata var schizonemoides;Navicula tripunctata var. schizonemoides
Navicula trivialis;Navicula trivialis;Navicula trivialis
Navicula trivialis ;Navicula trivialis;Navicula trivialis
Navicula trivialis;Navicula trivialis;Navicula trivialis
Navicula trivialis;Navicula trivialis;Navicula trivialis
Navicula trivialis;Navicula trivialis;Navicula trivialis
Navicula trivialis Lange Bertalot  ;Navicula trivialis;Navicula trivialis
Navicula trivialis;Navicula trivialis;Navicula trivialis
Navicula trivialis;Navicula trivialis;Navicula trivialis
Navicula trivialis Lange-Bertalot;Navicula trivialis;Navicula trivialis
Navicula valida;Navicula valida;Navicula valida
Navicula vandami var mertiense;Navicula vandami var mertiense;Navicula vandami var. mertiense
Navicula vaucheriae Petersen;Navicula vaucheriae;Navicula vaucheriae
Navicula veneta;Navicula veneta;Navicula veneta
Navicula veneta;Navicula veneta;Navicula veneta
Navicula veneta;Navicula veneta;Navicula veneta
Navicula veneta;Navicula veneta;Navicula veneta
Navicula veneta;Navicula veneta;Navicula veneta
Navicula veneta;Navicula veneta;Navicula veneta
Navicula veneta Ku?tzing     ;Navicula veneta;Navicula veneta
Navicula veneta;Navicula veneta;Navicula veneta
Navicula veneta;Navicula veneta;Navicula veneta
Navicula cf. veneta Ktzing;Navicula veneta;Navicula veneta
Navicula veneta;Navicula veneta;Navicula veneta
Navicula veneta;Navicula veneta;Navicula veneta
