id;CollectionName;Country;Collector-Analyst;Year;SiteName;SampleType;Habitat;Substrate;code_original;code;region;Lat DD S;Long DD W;EnvironmentalData (1=yes/2=no);Mud;Slides;Count;Observations
68;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Colorada;modern;Lake;;26-III-91-E;Frt-SAA_LagnClrd4;Sud Lipez;-22,2;-67,766;0;0;1;0;
69;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Colorada;modern;Lake;;26-III-91-F;Frt-SAA_LagnClrd5;Sud Lipez;-22,2;-67,766;0;0;1;0;
70;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Colorada;modern;Lake;;26-III-91-G;Frt-SAA_LagnClrd6;Sud Lipez;-22,2;-67,766;0;0;1;0;
71;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Colorada;modern;Lake;;26-III-91-H;Frt-SAA_LagnClrd7;Sud Lipez;-22,2;-67,766;0;0;1;0;
72;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Colorada;modern;Lake;;26-III-91-I;Frt-SAA_LagnClrd8;Sud Lipez;-22,2;-67,766;0;0;1;0;
73;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Colorada;modern;Lake;;26-III-91-J;Frt-SAA_LagnClrd9;Sud Lipez;-22,2;-67,766;0;0;1;0;
74;Fritz-SA Altiplano;Bolivia;Fritz;1991;Laguna Cachi;modern;Lake;;28-III-91-A;Frt-SAA_LagunCch;Sud Lipez;-21,73;-67,945;0;0;1;1;COUNTED
75;Cochabamba;Bolivia;Fritz;2007;Laguna Challacaba;core top;Lake;;;Cochbmb_LgnChllc;Cochabamba;-17,597;-65,569;1;1;0;1;COUNTED
76;Sud Lipez;Bolivia;Fritz;2016;Laguna Colorada;modern;Lake;;DLC1;SudLipz_LagnClrd1;Sud Lipez;-22,182;-67,812;0;1;1;0;
77;Sud Lipez;Bolivia;Fritz;2016;Laguna Colorada;modern;Lake;;DLC2;SudLipz_LagnClrd2;Sud Lipez;-22,182;-67,812;0;1;0;0;
78;Sud Lipez;Bolivia;Fritz;2016;Laguna Colorada;modern;Lake;;LC5;SudLipz_LagnClrd3;Sud Lipez;-22,182;-67,812;0;1;0;0;
79;Sud Lipez;Bolivia;Fritz;2016;Laguna Colorada;core top;Lake;;LC01;SudLipz_LagnClrd4;Sud Lipez;-22,182;-67,812;0;1;0;0;
80;Sud Lipez;Bolivia;Fritz;2016;Laguna Colorada;core top;Lake;;LC02C-0;SudLipz_LagnClrd5;Sud Lipez;-22,191;-67,748;0;1;0;0;
81;Sud Lipez;Bolivia;Fritz;2016;Laguna Verde;core top;Lake;;LV01C-0;SudLipz_LagunVrd1;Sud Lipez;-22,797;-67,828;0;1;1;0;
82;Sud Lipez;Bolivia;Fritz;2016;Laguna Verde;core top;Lake;;LV01S-1;SudLipz_LagunVrd2;Sud Lipez;-22,797;-67,828;0;1;0;0;
83;Sud Lipez;Bolivia;Fritz;2016;Laguna Verde;core top;Lake;;LV01S-2;SudLipz_LagunVrd3;Sud Lipez;-22,797;-67,828;0;1;0;0;
84;Sud Lipez;Bolivia;Fritz;2016;Laguna Verde;core top;Lake;;LV02C-1;SudLipz_LagunVrd4;Sud Lipez;-22,797;-67,828;0;1;0;0;
85;Sud Lipez;Bolivia;Fritz;2016;Laguna Verde;core top;Lake;;LV02C-2;SudLipz_LagunVrd5;Sud Lipez;-22,797;-67,828;0;1;0;0;
86;Sud Lipez;Bolivia;Fritz;2016;Laguna Blanca;core top;Lake;;LB01C-1;SudLipz_LagunBlanc1;Sud Lipez;-22,805;-67,805;0;1;1;1;
87;Sud Lipez;Bolivia;Fritz;2016;Laguna Blanca;core top;Lake;;LB02-1;SudLipz_LagunaBlnc2;Sud Lipez;-22,805;-67,805;0;1;0;0;
88;Sud Lipez;Bolivia;Fritz;2016;Salar Chalvrvi spring1;modern;Spring;;SL-1;SudLipz_SCsprng1;Sud Lipez;-22,494;-67,615;0;1;0;0;
89;Sud Lipez;Bolivia;Fritz;2016;Salar Chalviri lake1;modern;Lake;;SL-2;SudLipz_SlrChlk1;Sud Lipez;-22,496;-67,615;0;1;1;1;
90;Sud Lipez;Bolivia;Fritz;2016;Salar Chalviri spring2;modern;Spring;;SL-3A;SudLipz_SCsprng21;Sud Lipez;-22,5;-67,506;0;1;0;0;
91;Sud Lipez;Bolivia;Fritz;2016;Salar Chalviri spring2;modern;Spring;;SL-3B;SudLipz_SCsprng22;Sud Lipez;-22,5;-67,505;0;1;0;0;
92;Sud Lipez;Bolivia;Fritz;2016;Salar Chalviri lake2;modern;Lake;;SL-4;SudLipz_SlrChlk2;Sud Lipez;-22,5;-67,506;0;1;0;0;
93;Sud Lipez;Bolivia;Fritz;2016;Salar Chalviri salt works;modern;Wetland;;SL-5;SudLipz_SlrChlsw;Sud Lipez;-22,475;-67,417;0;1;0;0;
94;Sud Lipez;Bolivia;Fritz;2016;Laguna Hedionda Sur;modern;Lake;;SL-6;SudLipz_LgnHdndS;Sud Lipez;-22,459;-67,394;0;1;1;0;
95;Sud Lipez;Bolivia;Fritz;2016;Laguna Loramayu sping;modern;Spring;;SL-7A;SudLipz_LgnLrmys;Sud Lipez;-22,424;-67,197;0;1;0;0;
96;Sud Lipez;Bolivia;Fritz;2016;Laguna Loramayu lake;modern;Lake;;SL-7B;SudLipz_LgnLrmyl;Sud Lipez;-22,414;-67,199;0;1;1;1;
97;Sud Lipez;Bolivia;Fritz;2016;Pampa de los Lagunas bofedal;modern;Lake;;SL-8A;SudLipz_PmpdlsLb;Sud Lipez;-22,226;-67,1;0;1;1;0;
98;Sud Lipez;Bolivia;Fritz;2016;Pampa de los Lagunas lake;modern;Lake;;SL-8B;SudLipz_PmpdlsLl;Sud Lipez;-22,222;-67,104;0;1;1;1;
99;GoslingBirdAndes;Peru;Gosling-Bird;2003;Umayo;surface sediment;Lake;epipelon;;GslngBA_Umayo;Peru-Andean Puna;-15,72;-70,152;1;1;1;0;Umayo1 and Umayo3 - BARREN
100;GoslingBirdAndes;Peru;Gosling-Bird;2003;Tunuipiju;surface sediment;Lake;epipelon;;GslngBA_Tunuipij;Peru-Andean Puna;-15,697;-70,198;1;1;0;0;No mud sample found
101;GoslingBirdAndes;Peru;Gosling-Bird;2003;Lake 3;surface sediment;Lake;epipelon;;GslngBA_Lake 3;Peru-Andean Puna;-15,688;-70,209;1;1;1;0;Lake3 1 - BARREN
102;GoslingBirdAndes;Peru;Gosling-Bird;2003;Sollata;surface sediment;Lake;epipelon;;GslngBA_Sollata;Peru-Andean Puna;-15,688;-70,194;1;1;1;0;Sollata 3 - BARREN
103;GoslingBirdAndes;Peru;Gosling-Bird;2003;Jaluncocha;surface sediment;Wetland;epipelon;;GslngBA_Jaluncch;Peru-Andean Puna;-15,662;-70,196;1;1;0;0;Barren diatoms
104;GoslingBirdAndes;Peru;Gosling-Bird;2003;Lake 6;surface sediment;Lake;epipelon;;GslngBA_Lake 6;Peru-Andean Puna;-15,663;-70,194;1;1;0;1;COUNTED
105;GoslingBirdAndes;Peru;Gosling-Bird;2003;Calzada;surface sediment;Lake;epipelon;;GslngBA_Calzada;Peru-Andean Puna;-15,902;-70,509;1;1;1;1;Calzada 3 (COUNTED)
106;GoslingBirdAndes;Peru;Gosling-Bird;2003;Maquera;surface sediment;Lake;epipelon;;GslngBA_Maquera;Peru-Andean Puna;-15,882;-70,565;1;1;0;1;COUNTED
107;GoslingBirdAndes;Peru;Gosling-Bird;2003;Umapata;surface sediment;Lake;epipelon;;GslngBA_Umapata;Peru-Andean Puna;-15,537;-70,046;1;1;1;1;Umpata 1 (COUNTED), 2 and 3
108;GoslingBirdAndes;Peru;Gosling-Bird;2003;Chacas;surface sediment;Lake;epipelon;;GslngBA_Chacas;Peru-Andean Puna;-15,409;-70,204;1;1;0;1;COUNTED
109;GoslingBirdAndes;Peru;Gosling-Bird;2003;Pacuna;surface sediment;Lake;epipelon;;GslngBA_Pacuna;Peru-Andean Puna;-15,578;-70,218;1;1;1;1;Pacuna1 (COUNTED)
110;GoslingBirdAndes;Peru;Gosling-Bird;2003;Lake 12;surface sediment;Stream;epipelon;;GslngBA_Lake 12;Peru-Andean Puna;-15,432;-70,167;1;1;0;0;No slide
111;GoslingBirdAndes;Peru;Gosling-Bird;2003;Ululumasa;surface sediment;Lake;epipelon;;GslngBA_Ululumas;Peru-Andean Puna;-15,785;-70,595;1;1;1;1;COUNTED
112;GoslingBirdAndes;Peru;Gosling-Bird;2003;Sara Cocha;surface sediment;Lake;epipelon;;GslngBA_SaraCoch;Peru-Andean Puna;-15,778;-70,623;1;1;1;1;Sara Cocha 1 (COUNTED) and 3
113;GoslingBirdAndes;Peru;Gosling-Bird;2003;Lagunillas;surface sediment;Lake;epipelon;;GslngBA_Lagunlls;Peru-Andean Puna;-15,764;-70,675;1;1;1;1;Lagunillas 1 (COUNTED), 2 and 3
114;GoslingBirdAndes;Peru;Gosling-Bird;2003;Salinas;surface sediment;Lake;epipelon;;GslngBA_Salinas;Peru-Andean Puna;-14,99;-70,126;1;1;0;0;Barren diatoms
115;GoslingBirdAndes;Peru;Gosling-Bird;2003;Arapa;surface sediment;Lake;epipelon;;GslngBA_Arapa;Peru-Andean Puna;-15,119;-70,05;1;1;0;0;No mud sample found
116;GoslingBirdAndes;Peru;Gosling-Bird;2003;Jacumarini;surface sediment;Lake;epipelon;;GslngBA_Jacumarn;Peru-Andean Puna;-16,372;-70,396;1;1;1;1;COUNTED
117;GoslingBirdAndes;Peru;Gosling-Bird;2003;Asiruni;surface sediment;Lake;epipelon;;GslngBA_Asiruni;Peru-Andean Puna;-16,386;-70,361;1;1;0;1;COUNTED
118;GoslingBirdAndes;Peru;Gosling-Bird;2003;Laja;surface sediment;Lake;epipelon;;GslngBA_Laja;Peru-Andean Puna;-16,529;-68,39;1;1;1;1;Laja 2 (COUNTED) and 3
119;GoslingBirdAndes;Peru;Gosling-Bird;2003;Jachcha Kkota;surface sediment;Lake;epipelon;;GslngBA_JchchKkt;Peru-Andean Puna;-16,578;-68,167;1;1;1;1;Jachcha Khota 1 (COUNTED) ,2 and 3
120;GoslingBirdAndes;Peru;Gosling-Bird;2003;Chara Nkkota;surface sediment;Lake;epipelon;;GslngBA_CharNkkt;Peru-Andean Puna;-16,58;-68,156;1;1;1;1;Chara Nkkota 1 (COUNTED), 1b and 2
121;GoslingBirdAndes;Peru;Gosling-Bird;2003;Lake 23;surface sediment;Lake;epipelon;;GslngBA_Lake 23;Peru-Andean Puna;-16,678;-68,315;1;1;1;1;Lake 23 3 (COUNTED)
122;GoslingBirdAndes;Peru;Gosling-Bird;2003;Estrellani;surface sediment;Lake;epipelon;;GslngBA_Estrelln;Peru-Andean Puna;-16,34;-68,042;1;1;0;1;COUNTED
123;GoslingBirdAndes;Peru;Gosling-Bird;2003;Jayokota;surface sediment;Lake;epipelon;;GslngBA_Jayokota;Peru-Andean Puna;-16,734;-68,302;1;1;0;0;No mud sample found
124;GoslingBirdAndes;Peru;Gosling-Bird;2003;Chijtacolla;surface sediment;Lake;epipelon;;GslngBA_Chijtcll;Peru-Andean Puna;-16,782;-68,296;1;1;1;0;Chijtacolla 1 - BARREN
125;GoslingBirdAndes;Peru;Gosling-Bird;2003;Lake 27;surface sediment;Lake;epipelon;;GslngBA_Lake 27;Peru-Andean Puna;-16,625;-68,275;1;1;1;1;Lake 27 1 (COUNTED), 2 and 3
126;GoslingBirdAndes;Peru;Gosling-Bird;2003;Luky;surface sediment;Lake;epipelon;;GslngBA_Luky;Peru-Andean Puna;-16,52;-68,46;1;1;0;0;Barren diatoms
127;GoslingBirdAndes;Peru;Gosling-Bird;2003;Lake 29;surface sediment;Lake;epipelon;;GslngBA_Lake 29;Peru-Andean Puna;-16,513;-68,494;1;1;1;0;
128;GoslingBirdAndes;Peru;Gosling-Bird;2003;Khotaña;surface sediment;Lake;epipelon;;GslngBA_Khotaña;Peru-Andean Puna;-16,581;-68,388;1;1;0;0;Barren diatoms
