Code;R;H;N;O;S;T;M;Taxon;Author(s);Synonyms (numbers between [] refer to different interpretations in taxainfo.nl);References for identification
PTDE;5;4;1;2;3;5;3;Planothidium delicatulum;(F.T. Kützing) F.E. Round et L. Bukhtiyarova 1996;"Achnanthes delicatula [1]; Achnanthes delicatula ssp. delicatula";"152; 232; 286"
PTDI;4;4;-;-;-;-;-;Planothidium dispar;(P.T. Cleve) A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;Achnanthes dispar;"118; 326"
PTDU;5;3;2;2;3;5;3;Planothidium dubium;(A. Grunow in P.T. Cleve et A. Grunow) F.E. Round et L.N. Bukhtiyarova 1996;Achnanthes lanceolata ssp. dubia;"152; 232"
PLNE;4;2;-;-;3;-;-;Planothidium ellipticum;(P.T. Cleve) M.B. Edlund in M.B. Edlund, N. Soninkhising, R.M. Williams et E.F. Stoermer 2001;"Achnanthes lanceolata ssp. lanceolata var. elliptica; Achnanthes lanceolata var. elliptica [1]";118
PLFR;4;2;2;3;4;-;3;Planothidium frequentissimum;(H. Lange-Bertalot) H. Lange-Bertalot 1999;Achnanthes lanceolata ssp/var. frequentissima;"141; 152; 310"
PGAL;4;4;-;-;-;5;-;Planothidium galaicum;I. Álvarez-Blamco et S. Blanco 2013;;5
PTGA;4;2;-;-;-;-;-;Planothidium gallicum;C.E. Wetzel et L. Ector in C.E. Wetzel, B. van de Vijver, S. Blanco et L. Ector 2019;;310
PGRN;2;1;1;2;1;2;3;Planothidium granum;(M.H. Hohn et J. Hellerman) H. Lange-Bertalot 1999;Achnanthes grana;"141; 152; 186"
PTHA;4;2;1;1;1;4;3;Planothidium hauckianum;(A. Grunow in P.T. Cleve et A. Grunow) L.N. Bukhtiyarova 1999;"Achnanthes hauckiana [1]; Achnanthes delicatula ssp. hauckiana";"120; 232"
PICU;3;2;-;-;-;-;-;Planothidium incuriatum;C.E. Wetzel, B. van de Vijver et L. Ector in C.E.Wetzel, B. Van de Vijver, L. Hoffmann et L. Ector 2013;;315
PJOU;4;2;1;1;1;3;3;Planothidium joursacense;(J. Héribaud) H. Lange-Bertalot 1999;"Achnanthes joursacense; Achnanthes lanceolata var. elliptica [2]";"118; 152"
PTLA;4;2;2;3;3;5;3;Planothidium lanceolatum;(L.A. de Brébisson ex F.T. Kützing) H. Lange-Bertalot 1999;"Achnanthes lanceolata [1]; Achnanthes lanceolata f. ventricosa; Achnanthes boyei";"118; 141; 152; 297"
PLEM;4;4;-;-;-;-;-;Planothidium lemmermannii;(F. Hustedt) E.A. Morales Luizaga 2006;Achnanthes lemmermannii;"118; 326"
PLIK;4;4;1;-;-;5;-;Planothidium linkei;(F. Hustedt) H. Lange-Bertalot 1999;Achnanthes linkei;"118; 244"
PMNT;4;3;2;2;3;5;3;Planothidium minutissimum;(G. Krasske) E.A. Morales Luizaga 2006;;"152; 186"
PTOE;3;1;1;1;1;2;1;Planothidium oestrupii;(A. Cleve-Euler) M.B. Edlund in M.B. Edlund, N. Soninkhishig, R.M. Williams et E.F. Stoermer 2001;Achnanthes oestrupii;"123; 152"
PTPE;3;1;1;1;1;1;2;Planothidium peragalloi;(J.-J. Brun et J. Héribaud) F.E. Round et L.N. Bukhtiyarova 1996 ('peragallii');"Achnanthes peragalloi; Achnanthes peragallo";"123; 152"
PPCV;4;4;-;-;-;-;-;Planothidium pericavum;(J.R. Carter) H. Lange-Bertalot 1999;Achnanthes pericava;"5; 27; 141; 326"
PTPO;5;6;-;-;-;-;-;Planothidium polaris;(E.V. Østrup) A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;;326
PPTV;3;2;1;1;1;3;3;Planothidium potapovae;C.E. Wetzel et L. Ector in C.E. Wetzel, B. Van de Vijver, S. Blanco et L. Ector 2019;;310
PLRC;4;2;-;1;-;-;-;Planothidium reichardtii;H. Lange-Bertalot et M. Werum in M. Werum et H. Lange-Bertalot 2004;;"309; 332"
PRBU;4;2;-;-;-;2;-;Planothidium robustius;(H. Lange-Bertalot) H. Lange-Bertalot 1999;Achnanthes lanceolata ssp/var. robusta;"118; 141; 244"
PROH;4;2;1;1;2;5;3;Planothidium rostratoholarcticum;H. Lange-Bertalot et M. Bak in M. Bak et H. Lange-Bertalot 2014;"Achnanthes lanceolata ssp. frequentissima var. rostratiformis; Achnanthes lanceolata ssp. rostrata; Planothidium rostratiforme";"152; 297; 310"
PRST;3;2;-;-;-;-;3;Planothidium rostratum;(E.V. Østrup) F.E. Round et L. Bukhtiyarova ex H. Lange-Bertalot 1999;"Achnanthes rostrata; Achnanthes lanceolata ssp/var. rostrata; ";"141; 152; 310"
PTSE;5;4;-;-;-;-;-;Planothidium septentrionale;(E.V. Østrup) F.E. Round et L.N. Bukhtiyarova 1996 ex U. Rumrich, H. Lange-Bertalot et M. Rumrich 2000;"Achnanthes hauckiana [2]; Achnanthes delicatula ssp. septentrionalis";"232; 326"
PHST;4;2;2;3;4;5;3;Planothidium straubianum;C.E. Wetzel, B. Van de Vijver et L. Ector in C.E. Wetzel, B. Van de Vijver, S. Blanco et L. Ector 2019;"Achnanthes lanceolata ssp/var. frequentissima var. minus/ Achnanthes lanceolata var. minor; Achnanthes lanceolata ssp. frequentissima var. minor";310
PTUJ;4;2;-;-;-;-;-;Planothidium tujii;C.E. Wetzel et L. Ector in C.E. Wetzel, B. Van de Vijver, S. Blanco et L. Ector 2019;;310
PVHE;4;2;-;-;-;5;-;Planothidium vanheurckii;(A. Grunow in H.F. Van Heurck) E.W.Thomas, B. Van de Vijver et J.P. Kociolek 2015;;265
PLVI;4;2;2;3;4;5;3;Planothidium victori;P.M. Novis, J. Braidwood et C. Kilroy 2012;"Achnanthes lanceolata ssp. frequentissima var. magna; Planothidium frequentissimum var. magnum";"95; 203; 297; 310"
PTCO;3;2;2;2;3;5;1;Platessa conspicua;H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 2004;"Achnanthes conspicua; Achnanthes conspicua var. brevistriata; ";"118; 152"
PLHO;4;2;-;-;-;4;-;Platessa holsatica;H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 2004;Achnanthes holsatica;"118; 152"
PLHU;4;2;1;1;1;-;4;Platessa hustedtii;H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 2004;"Achnanthes hustedtii; Achnanthes krasskei; Achnanthes rupestoides; Cocconeis hustedtii";"118; 152"
PLUH;2;1;1;1;1;1;4;Platessa lutheri;(F. Hustedt) M.G. Potapova 2012;Achnanthes lutheri;"118; 210"
PTMO;3;1;1;1;1;1;4;Platessa montana;(G. Krasske) H. Lange-Bertalot 2004;"Achnanthes montana; Psammothidium montanum";118
POBL;3;2;2;2;3;-;3;Platessa oblongella;(E.V. Østrup ) C.E. Wetzel, H. Lange-Bertalot et L. Ector 2017;"Achnanthes oblongella; Psammothidium oblongellum";"118; 152"
PLRU;3;1;1;1;1;1;4;Platessa rupestris;(G. Krasske) H. Lange-Bertalot 2004;Achnanthes rupestris;118
PLSW;3;1;-;-;-;-;-;Platessa stewartii;(R. Patrick) M.G. Potapova 2012;Achnanthes stewartii;"118; 210"
PZIE;4;2;1;1;1;2;-;Platessa ziegleri;(H. Lange-Bertalot) H. Lange-Bertalot in K. Krammer et H. Lange-Bertalot 2004;;"112; 129"
PANG;5;7;-;-;-;-;-;Pleurosigma angulatum;(J.T. Quekett) W. Smith 1852;Pleurosigma aestuarii;118
PLDE;-;4;-;-;-;-;-;Pleurosigma delicatulum;W. Smith 1852;Pleurosigma delicatulum;206
PELO;-;5;-;-;-;-;-;Pleurosigma elongatum;W. Smith 1852;Pleurosigma elongatum;"118; 173"
PFOR;5;7;-;-;-;-;-;Pleurosigma formosum;W. Smith 1852;Pleurosigma formosum;"249; 304"
PLIN;5;7;-;-;-;-;-;Pleurosigma intermedium;W. Smith 1853;Pleurosigma intermedium;76
PLNO;5;7;-;-;-;-;-;Pleurosigma normanii;J. Ralfs in A. Pritchard 1861;Pleurosigma affine;"34; 173"
PSAL;4;4;-;-;1;-;-;Pleurosigma salinarum;(A. Grunow) A. Grunow in P.T. Cleve et A. Grunow 1880;Pleurosigma salinarum;"118; 326"
PLSM;5;7;-;-;-;-;-;Pleurosigma simonsenii;G.R. Hasle in G.R. Hasle et E.E. Syvertsen 1996;Pleurosigma planctonicum;71
PLEV;5;5;-;-;1;5;3;Pleurosira laevis;(C.G. Ehrenberg) P. Compère 1982;Biddulphia laevis;"233; 326"
POST;5;7;-;-;-;-;2;Podosira stelliger;(J.W. Bailey) A. Mann 1907;;233
PTPU;4;2;-;-;-;-;1;Praestephanos triporus;(S.I. Genkal et G.V. Kuzmin) A. Tuji et J.-S. Ki in A. Tuji, Y. Mohri, J.-S. Ki, S.W. Jung et M.L. Julius 2014;Stephanodiscus triporus;"44; 108; 275"
PVHY;-;6;-;-;-;-;-;Pravifusus hyalinus;A. Witkowski, H. Lange-Bertalot et D. Metzeltin 2000;;"141; 326"
PITE;3;3;2;3;3;5;2;Prestauroneis integra;(W. Smith) K. Bruder et L.K. Medlin 2008;"Navicula integra; Pinnularia integra";"118; 152"
PPRT;4;4;2;3;2;5;3;Prestauroneis protracta;(A. Grunow in P.T. Cleve et A. Grunow) I.W. Bishop, A.D. Minerovic, Q. Liu et J.P. Kociolek 2017;"Navicula protracta; Parlibellus protractus";"16; 152; 326"
PPVE;3;2;-;-;-;-;-;Prestauroneis protracta var. elliptica;(Gallick) J.Y.Li & Y.Z.Qi 1935;"Navicula protracta var. elliptica; Parlibellus elliptica";58
PPRD;3;2;1;1;2;4;3;Prestauroneis protractoides;(Hustedt) Q.Liu & Kociolek 2015;Parlibellus protractoides;"152; 326"
PCMP;5;6;-;-;-;-;-;Proschkinia complanata;(Grunow) D.G.Mann 1990;Navicula complanata;"118; 233; 326"
PCML;5;6;-;-;-;-;-;Proschkinia complanatula;(Hustedt ex Simonsen) D.G.Mann 1990;Navicula complanatula;"118; 244"
PPOR;4;5;-;-;-;-;-;Proschkinia poretzkiae;(O.S. Korotkevich) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula poretzkiae;326
PCON;5;6;-;-;-;-;-;Psammodictyon constrictum;(W. Gregory) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;"Nitzschia constricta sensu (W. Gregory) A. Grunow 1880 non sensu (Kutz) Ralfs in Kr&LB; Nitzschia constricta [2]";233
PPAN;5;7;-;-;-;-;-;Psammodictyon panduriforme;(W. Gregory) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Nitzschia panduriformis;"233; 326"
PPFC;5;7;-;-;-;-;-;Psammodictyon panduriforme var. continua;(A. Grunow in P.T. Cleve et A. Grunow) P.J.M. Snoeijs in P.J.M. Snoeijs et N. Balashova 1998;Nitzschia panduriformis var. continua;326
PNIT;5;7;-;-;-;-;-;Psammodiscus nitidus;(W. Gregory) F.E. Round et D.G. Mann 1980;Coscinodiscus nitidus;"233; 326"
PABD;2;1;-;-;-;-;-;Psammothidium abundans;(E. Manguin) L. Bukhtiyarova et F.E. Round 1996;Achnanthes abundans;143
PACD;2;1;1;1;1;1;3;Psammothidium acidoclinatum;(H. Lange-Bertalot) H. Lange-Bertalot 1999;Achnanthes acidoclinata;"133; 138; 152"
PALT;2;1;2;2;1;3;3;Psammothidium altaicum;(V.S. Poretzky) L. Bukhtiyarova in L. Bukhtiyarova et F.E. Round 1996;Achnanthes altaica;"20; 118; 152"
PBIO;3;2;1;1;1;3;4;Psammothidium bioretii;(H. Germain) L. Bukhtiyarova et F.E. Round 1996;Achnanthes bioretii;"20; 118; 152"
PBRI;2;1;1;1;1;1;3;Psammothidium bristolicum;L. Bukhtiyarova in L. Bukhtiyarova et F.E. Round 1996;;152
PCHL;2;1;1;1;1;1;3;Psammothidium chlidanos;(M.H. Hohn et J. Hellerman) H. Lange-Bertalot 1999;Achnanthes chlidanos;"118; 141; 152"
PDAO;3;1;1;1;1;2;3;Psammothidium daonense;(H. Lange-Bertalot) H. Lange-Bertalot 1999;Achnanthes daonense;"118; 141; 152"
PGRI;2;1;1;1;1;1;3;Psammothidium grischunum;(M. Wuthrich) L. Bukhtiyarova et F.E. Round 1996;Achnanthes grischuna;"20; 118; 152"
PHEL;4;1;2;2;1;3;3;Psammothidium helveticum;(F. Hustedt) L. Bukhtiyarova et F.E. Round 1996;"Achnanthes austriaca [2]; Achnanthes austriaca var. helvetica; Achnanthes austriaca var. ventricosa; Achnanthes helvetica";"20; 118; 152"
PKRY;3;1;1;1;1;1;3;Psammothidium kryophilum;(J.B. Petersen) E. Reichardt 2004;"Achnanthes kryophila; Achnanthidium kryophilum; Navicula seminulum var. intermedia";"118; 143"
PKUE;2;1;1;1;1;1;3;Psammothidium kuelbsii;(H. Lange-Bertalot) L. Bukhtiyarova et F.E. Round 1996;Achnanthes kuelbsii;118
PLVU;2;1;1;1;1;1;-;Psammothidium lacus-vulcani;(H. Lange-Bertalot et K. Krammer) L. Bukhtiyarova in L. Bukhtiyarova et F.E. Round 1996;Achnanthes lacus-vulcani;"20; 118"
PLAU;3;2;2;2;3;5;3;Psammothidium lauenburgianum;(F. Hustedt) L. Bukhtiyarova et F.E. Round 1996;Achnanthes lauenburgiana;"20; 118; 152"
PLVA;3;1;1;1;1;1;3;Psammothidium levanderi;(F. Hustedt) L. Bukhtiyarova et F.E. Round 1996;Achnanthes levanderi;"20; 118"
PMRG;2;1;1;1;1;1;4;Psammothidium marginulatum;(A. Grunow) L. Bukhtiyarova et F.E. Round 1996;Achnanthes marginulata;"20; 118; 152"
PPSW;3;1;1;1;1;1;-;Psammothidium pseudoswazi;(J.R. Carter) L. Bukhtiyarova et F.E. Round 1996;Achnanthes pseudoswazi;"118; 138"
PPUN;4;4;-;-;-;-;-;Psammothidium punctulatum;(R. Simonsen) L. Bukhtiyarova et F.E. Round 1996;Achnanthes punctulata;"20; 152; 326"
PSRE;3;1;1;1;1;1;3;Psammothidium rechtense;(L. Leclercq) H. Lange-Bertalot 1999;Achnanthes rechtensis;"118; 152"
PROS;3;1;1;1;1;1;3;Psammothidium rossii;(F. Hustedt) L. Bukhtiyarova et F.E. Round 1996;Achnanthes rossii;"20; 118; 152"
PSAC;3;2;1;1;1;1;-;Psammothidium sacculus;(J.R.Carter) L. Bukhtiyarova in L. Bukhtiyarova et F.E. Round 1996;Achnanthes saccula;118
PSCT;2;1;-;-;1;1;-;Psammothidium scoticum;(R.J. Flower et V.J. Jones) L. Bukhtiyarova et F.E. Round 1996;Achnanthes scotica [1];"20; 118"
PSAT;2;1;1;1;1;2;1;Psammothidium subatomoides;(F. Hustedt) L. Bukhtiyarova et F.E. Round 1996;"Achnanthes detha; Achnanthes subatomoides";"20; 118; 152"
PVEN;2;1;1;1;1;2;2;Psammothidium ventrale;(G. Krasske) L. Bukhtiyarova et F.E. Round 1996 ('ventralis') (ICN: nom. inval.);"Achnanthes ventralis; Achnanthes ventralis var. crassa; Navicula ventralis [1]";"20; 118; 152"
PFOC;3;2;1;1;2;4;4;Pseudofallacia occulta;(Krasske) Y.Liu, Kociolek & Q.X.Wang;Navicula occulta;"118; 153; 164"
PDWE;5;7;-;-;-;-;-;Pseudopodosira westii;(W. Smith) V.S. Sheshukova-Poretzkaya in V.S. Sheshukova-Poretzkaya et S.I. Glezer 1964;Melosira westii;326
PALV;3;1;1;1;1;4;-;Pseudostaurosira alvareziae;C. Cejudo-Figueiras, E.A. Morales Luizaga et L. Ector in C. Cejudo-Figueiras, E.A. Morales Luizaga, C.E. Wetzel, S. Blanco, L. Hoffmann et L. Ector 2011;;24
PSBR;4;2;1;1;2;5;2;Pseudostaurosira brevistriata;(A. Grunow in H.F. van Heurck) D.M. Williams et F.E. Round 1988;Fragilaria brevistriata;"152; 190; 191; 194; 322"
PBIF;4;2;1;1;1;-;2;Pseudostaurosira brevistriata var. inflata;(J. Pantocsek) M.B. Edlund 1994;"Fragilaria brevistriata var. inflata; Fragilaria inflata [2]";45
PSBK;4;4;-;-;-;-;-;Pseudostaurosira bronkii;(A. Witkowski, H. Lange-Bertalot et D. Metzeltin) C.E. Wetzel et E.A. Morales Luizaga in E.A. Morales Luizaga, C.E. Wetzel, M.H. Novais, K. Buczkó, M.M. Morais et L. Ector 2019 ('bronkei');Fragilaria bronkei;326
PSSE;4;2;1;1;2;4;1;Pseudostaurosira elliptica;(J.H.K. Schumann) M.B. Edlund, E.A. Morales Luizaga et S.A. Spaulding 2006;Fragilaria elliptica [1], Staurosira elliptica [1];"46; 192; 193"
PSME;4;4;-;-;-;-;-;Pseudostaurosira medliniae;D.M. Williams et E.A. Morales Luizaga 2010;"Fragilaria zeilleri var. elliptica; Pseudostaurosira elliptica [2]; Pseudostaurosira zeilleri var. elliptica";118
PMUA;4;6;-;-;-;5;-;Pseudostaurosira minuta;(A. Cleve-Euler) E.A. Morales Luizaga, C.E. Wetzel, B. Van de Vijver et L. Ector in E.A. Morales Luizaga, C.E. Wetzel, L. Ector et B. Van de Vijver 2020;Opephora minuta;326
PPRS;4;2;1;1;2;4;2;Pseudostaurosira parasitica;(W. Smith) E.A. Morales Luizaga 2003;"Fragilaria parasitica, Staurosira parasitica; Synedra parasitica; Synedrella parasitica";"118; 152; 194"
PSPE;4;4;-;-;-;5;-;Pseudostaurosira perminuta;(A. Grunow in H.F. van Heurck) K. Sabbe et W. Vyverman 1995;;"236; 322; 326"
PPCO;4;1;1;1;1;1;-;Pseudostaurosira pseudoconstruens;(B. Marciniak) D.M. Williams et F.E. Round 1988;Fragilaria pseudoconstruens;"118; 152"
PRBS;4;2;1;1;1;2;-;Pseudostaurosira robusta;(P. Fusey) D.M. Williams et F.E. Round 1987;Fragilaria robusta;152
PSMH;4;2;1;1;2;4;2;Pseudostaurosira smithii;E.A. Morales Luizaga et L. Ector in E.A. Morales Luizaga, C.E. Wetzel, B. van de Vijver et L. Ector 2015 (ICN: nom. inval.);"Fragilaria parasitica var. subconstricta; Pseudostaurosira parasitica var. subconstricta; Synedra parasitica f./var. subconstricta; Synedrella subconstricta";"118; 152; 184; 194"
PSSB;4;4;2;1;1;4;1;Pseudostaurosira subsalina;(F. Hustedt) E.A. Morales Luizaga 2005;Fragilaria construens f./var. subsalina;"24; 118; 152; 185"
PZEI;4;4;-;-;-;-;-;Pseudostaurosira zeilleri;(J. Héribaud) D.M. Williams et F.E. Round 1988;Fragilaria zeilleri;"118; 253"
PGTD;4;5;-;-;-;5;-;Pseudostaurosiropsis geocollegarum;(A. Witkowski et H. Lange-Bertalot in A. Witkowski, H. Lange-Bertalot et M. Witak) E.A. Morales Luizaga 2002;Fragilaria geocollegarum;183
PINA;5;7;-;-;-;-;-;Pteroncola inane;(M.H. Giffen) F.E. Round in F.E. Round, R.M. Crawford et D.G. Mann 1990;;326
PUMI;4;2;-;-;-;-;-;Pulchella minutissima;E. Reichardt 2006;;222
PMIM;5;2;-;-;-;4;-;Punctastriata mimetica;E.A. Morales 2005;;185
RSIN;3;2;2;1;2;4;3;Reimeria sinuata;(W. Gregory) J.P. Kociolek et E.F. Stoermer 1987;Cymbella sinuata;"152; 160; 233"
RUNI;4;2;2;2;2;4;3;Reimeria uniseriata;S.E. Sala, J.M. Guerrero et M.E. Ferrario 1993;;"160; 177; 239"
RARC;5;7;-;-;-;-;-;Rhabdonema arcuatum;(H.C. Lyngbye in J.W. Hornemann) F.T. Kützing 1844;;"249; 304; 326"
RMIN;5;7;-;-;-;-;-;Rhabdonema minutum;F.T. Kützing 1844;;"152; 304; 326"
RAMP;5;6;-;-;-;-;2;Rhaphoneis amphiceros;(C.G. Ehrenberg) C.G. Ehrenberg 1844;;"152; 326"
RTNU;5;4;-;-;-;-;-;Rhaphoneis tenuis;F. Hustedt 1952;;244
RABB;4;3;2;2;2;5;2;Rhoicosphenia abbreviata;(C.A. Agardh) H. Lange-Bertalot 1980;"Gomphonema abbreviatum [1]; Rhoicosphenia curvata";"118; 152; 163"
RMAR;5;7;-;-;-;-;-;Rhoicosphenia marina;(F.T. Kützing) M. Schmidt in A. Schmidt et al. 1899;;"118; 163"
RACU;5;4;-;-;-;5;-;Rhopalodia acuminata;K. Krammer in H. Lange-Bertalot et K. Krammer 1987;;"118; 326"
RBRE;4;3;-;-;-;-;-;Rhopalodia brebissonii;K. Krammer in H. Lange-Bertalot et K. Krammer 1987;;"118; 326"
RCON;4;4;-;-;-;5;1;Rhopalodia constricta;(W. Smith) K. Krammer in K. Krammer et H. Lange-Bertalot 1987;;118
RDUB;5;6;-;-;-;-;-;Rhopalodia dubia;(H. Peragallo et M. Peragallo) T.B.B. Paddock et P.A. Sims 1980;"Auricula dubia; Epithemia gibba";66
RGIB;5;3;1;3;2;5;3;Rhopalodia gibba;(C.G. Ehrenberg) G.F.O. Müller 1895;Rhopalodia gibba var. ventricosa;"118; 152"
RGMI;5;2;-;-;-;-;-;Rhopalodia gibba var. minuta;K. Krammer in H. Lange-Bertalot et K. Krammer 1987;;118
RGBL;4;3;-;1;-;-;3;Rhopalodia gibberula;(C.G. Ehrenberg) G.F.O. Müller 1900;;118
RGVH;4;2;-;-;-;-;3;Rhopalodia gibberula var. vanheurckii;O. Müller 1900;;118
RMUS;5;4;-;-;1;-;3;Rhopalodia musculus;(F.T. Kützing) G.F.O. Müller 1900;;"118; 326"
ROPE;5;3;-;-;-;5;1;Rhopalodia operculata;(C.A. Agardh) H. Håkansson 1979;;118
RPAR;4;1;1;1;1;2;3;Rhopalodia parallela;(A. Grunow) O. Müller 1895;Rhopalodia gibba var. parallela;"118; 152"
RRUP;3;1;1;1;1;1;4;Rhopalodia rupestris;(W. Smith) K. Krammer in H. Lange-Bertalot et K. Krammer 1987;;118
RTES;5;7;-;-;-;-;-;Roperia tesselata;(F.C.S. Roper) A. Grunow ex J. Pelletan 1889;;156
RANA;3;1;1;1;1;3;3;Rossithidium anastasiae;(I. Kaczmarska) M.G. Potapova 2012;"Achnanthes lineariformis; Achnanthes linearioides; Achnanthes linearis [4]; Achnanthidium linearioide";"118; 152; 210"
RNOD;3;1;1;1;1;1;3;Rossithidium nodosum;(A. Cleve-Euler) M. Aboal in M. Aboal, M. Álvarez-Cobelas, J. Cambra et L. Ector 2003;Achnanthes nodosa;118
RPET;3;1;1;1;1;1;3;Rossithidium petersenii;(F. Hustedt) F.E. Round et L. Bukhtiyarova 1996;"Achnanthes affinis [2]; Achnanthes linearis [3]; Achnanthes petersenii; Achnanthes pusilla var. petersenii";"118; 152; 232"
RPUS;3;2;1;1;1;1;-;Rossithidium pusillum;(A. Grunow) F.E. Round et L. Bukhtiyarova 1996;Achnanthes pusilla;"118; 152; 232"
SGMU;5;4;1;1;2;5;4;Sarcophagodes mutabilis;E.A. Morales Luizaga in E.A. Morales Luizaga, C.E. Wetzel, M.H. Novais, K. Buczkó, M.M. Morais et L. Ector 2019 (ICN: nom. inval.);"Opephora olsenii; Opephora mutabilis nom illeg.; Opephora horstiana";"236; 326"
SCTM;5;6;-;-;-;5;-;Scoliopleura tumida;(L.A. de Brébisson ex F.T. Kützing) G.L. Rabenhorst 1864;;"304; 326"
SABS;3;2;1;1;1;3;-;Sellaphora absoluta;(F. Hustedt) C.E. Wetzel, L. Ector, B. Van de Vijver, P. Compère et D.G. Mann 2015;Navicula absoluta;"118; 152"
SAGE;3;2;-;-;2;4;-;Sellaphora aggerica;(E. Reichardt) E. Falasco et L. Ector in E. Falasco, S. Blanco, F. Bona, J. Gomà, D. Hlúbiková, M.H. Novais, L. Hoffmann et L. Ector 2009;;"48; 317"
SAME;4;1;1;1;1;1;1;Sellaphora americana;(C.G. Ehrenberg) D.G. Mann 1989;Navicula americana;118
SACB;4;4;-;-;-;5;3;Sellaphora archibaldii;(J.C. Taylor et H. Lange-Bertalot) É. Ács, C.E. Wetzel et L. Ector in É. Ács, C.E. Wetzel, K. Buczkó, K.T. Kiss, K. Nagy, Z. Trábert, A. Földi, V. Pozderka, P. Werner, D. Heudre et L. Ector 2017;;2
SEAT;4;2;3;4;4;5;3;Sellaphora atomoides;(A. Grunow) C.E. Wetzel et B. van de Vijver in C.E. Wetzel, L. Ector, B. Van de Vijver, P. Compère et D.G. Mann 2015;"Eolimna minima [2]; Navicula minima; Navicula tantula; Eolimna tantula";"138; 309; 317"
SAUL;4;2;2;2;3;5;2;Sellaphora auldreekie;D.G. Mann et S.M. McDonald in D.G. Mann, S.J. Thomas et K.M. Evans 2008;;170
SEBA;4;2;1;2;2;4;2;Sellaphora bacillum;(C.G. Ehrenberg) D.G. Mann 1989;Navicula bacillum [1];"118; 152"
SBSX;3;2;1;1;1;5;3;Sellaphora bisexualis;D.G. Mann et K.M. Evans in D.G. Mann, K.M. Evans, V.A. Chepurnov et S. Nagai 2009;;168
SBKF;3;2;1;1;1;5;3;Sellaphora blackfordensis;D.G. Mann et S.J.M. Droop 2004;;152
SECA;4;2;2;3;2;4;3;Sellaphora capitata;D.G. Mann et S.M. McDonald in D.G. Mann, S.M. McDonald, M.M. Bayer, S.J.M. Droop, V.A. Chepurnov, R.E. Loke, A. Ciobanu et J.M.H. du Buf 2004;Navicula pupula var. capitata [1];"152; 169"
SCHK;2;1;1;1;1;1;4;Sellaphora chistiakovae;(M.S. Kulikovskiy et H. Lange-Bertalot) C.E. Wetzel, L. Ector, B. van de Vijver, P. Compère et D.G. Mann 2015;Eolimna chistiakovae;122
SCPO;3;2;3;3;3;5;3;Sellaphora cosmopolitana;(H. Lange-Bertalot in U. Rumrich, H. Lange-Bertalot et M. Rumrich) C.E. Wetzel et L. Ector in C.E. Wetzel, L. Ector, B. Van de Vijver, P. Compère et D.G. Mann 2015;Navicula arvensis var. maior;"118; 234; 317"
SCRA;4;2;3;2;3;5;4;Sellaphora crassulexigua;(E. Reichardt) C.E. Wetzel et L. Ector in C.E. Wetzel, L. Ector, B. Van de Vijver, P. Compère et D.G. Mann 2015;Navicula crassulexigua;"217; 317"
SDSS;3;2;-;-;-;2;-;Sellaphora densistriata;(H. Lange-Bertalot et D. Metzeltin) H. Lange-Bertalot et D. Metzeltin in D. Metzeltin et H. Lange-Bertalot 2003;;"138; 177"
SDIF;2;1;2;1;2;3;3;Sellaphora difficillima;(F. Hustedt) C.E. Wetzel, L. Ector et D.G. Mann in C.E. Wetzel, L. Ector, B. Van de Vijver, P. Compère et D.G. Mann 2015;Navicula difficillima;"118; 318"
SDIG;-;1;-;-;-;-;-;Sellaphora digna;(F. Hustedt) C.E. Wetzel, L. Ector, B. van de Vijver, P. Compère et D.G. Mann 2015;Navicula digna;"118; 244"
SDIS;3;2;1;1;1;4;3;Sellaphora disjuncta;(F. Hustedt) D.G. Mann 1989;Navicula disjuncta;118
SELO;2;1;1;1;1;1;4;Sellaphora elorantana;(H. Lange-Bertalot) C.E. Wetzel, L. Ector, B. van de Vijver, P. Compère et D.G. Mann 2015;"Eolimna elorantana; Naviculadicta elorantana";"122; 138"
SHAD;3;2;-;-;-;-;4;Sellaphora harderi ;(Hustedt) J.Foets & C.E.Wetzel 2018;Navicula harderi;"50; 118; 244"
SHUS;2;1;1;1;1;3;4;Sellaphora hustedtii;(G. Krasske) H. Lange-Bertalot et M. Werum in M. Werum et H. Lange-Bertalot 2004;Navicula hustedtii;"118; 153; 229; 309"
SLAB;3;2;2;3;3;5;-;Sellaphora labernardierei;A. Beauger, C.E. Wetzel et L. Ector in A. Beauger, C.E. Wetzel, O. Voldoire, A. Garreau et L. Ector 2016;;13
SELA;3;1;1;1;1;3;2;Sellaphora laevissima;(F.T. Kützing) D.G. Mann 1989;"Navicula laevissima; Navicula bacilliformis";"118; 152"
