Code;R;H;N;O;S;T;M;Taxon;Author(s);Synonyms (numbers between [] refer to different interpretations in taxainfo.nl);References for identification
CRNE;5;6;-;-;-;-;-;Craspedostauros neoconstrictus;E.J. Cox 1999;Stauroneis constricta [2];30
CRAC;4;2;4;5;5;6;2;Craticula accomoda;(F. Hustedt) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula accomoda;"134; 152; 233"
CACM;4;2;1;1;2;5;-;Craticula accomodiformis;H. Lange-Bertalot 1993;;"129; 134"
CAMB;4;4;-;-;3;5;-;Craticula ambigua;(C.G. Ehrenberg) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula cuspidata var. ambigua;"134; 152; 233"
CRBU;4;4;2;2;3;5;2;Craticula buderi;(F. Hustedt) H. Lange-Bertalot in U. Rumrich et al. 2000;"Navicula buderi; Navicula pseudohalophila";"134; 152"
CRCI;-;2;-;-;-;5;-;Craticula citrus;(G. Krasske) E. Reichardt 1997;Navicula citrus;"134; 152"
CRCU;4;4;2;3;3;5;1;Craticula cuspidata;(F.T. Kützing) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula cuspidata;"134; 152; 233"
CRDI;-;2;-;-;-;5;-;Craticula dissociata;(E. Reichardt) E. Reichardt 1997;;134
CELK;5;3;-;-;-;-;-;Craticula elkab;(O. Müller) H. Lange-Bertalot 2001;;134
CRHA;4;4;-;-;-;-;-;Craticula halopannonica;H. Lange-Bertalot 2001;;134
CHAL;4;4;-;-;-;-;-;Craticula halophila;(A. Grunow ex H.F. van Heurck) D.G. Mann in F.E. Round, R.M. Crawford et D.G. Mann 1990;Navicula halophila;"134; 152; 233"
CRHR;4;4;-;-;-;-;-;Craticula halophila f. robusta;(F. Hustedt) D.B. Czarnecki 1994;Navicula halophila f. robusta;118
CRHS;4;4;-;-;-;-;-;Craticula halophila var. subcapitata;(E.V.  Østrup) D.B. Czarnecki 1995;Navicula halophila var. subcapitata;118
CHLI;4;4;-;-;-;-;-;Craticula halophilioides;(F. Hustedt) H. Lange-Bertalot 2001;Navicula halophilioides;134
CMNO;4;2;4;4;4;5;2;Craticula minusculoides;(F. Hustedt) H. Lange-Bertalot 2001;"Navicula minusculoides; Navicula minuscula [2] [3]";"134; 152"
CMLF;4;2;3;4;4;5;3;Craticula molestiformis;(F. Hustedt) H. Lange-Bertalot 2001;"Navicula molestiformis; Navicula twymaniana";"134; 152"
CNOA;4;2;-;-;-;-;-;Craticula nonambigua;H. Lange-Bertalot, P. Cavacini, N. Tagliaventi et S. Alfinito 2003;;"149; 229"
CRIP;2;1;2;3;4;5;3;Craticula riparia;(F. Hustedt) H. Lange-Bertalot 1993;Navicula riparia;"129; 134"
CRMO;2;1;-;-;-;-;-;Craticula riparia var. mollenhaueri;H. Lange-Bertalot 1993;Navicula riparia var. mollenhaueri;"129; 134"
CSNU;4;2;4;4;4;5;3;Craticula subminuscula;(É.E. Manguin) C.E. Wetzel, L. Ector, B. van de Vijver, P. Compère et D.G. Mann 2015;"Eolimna subminuscula; Navicula subminuscula; Navicula frugalis";"118; 152; 196"
CSBM;2;1;-;-;-;1;-;Craticula submolesta;(F. Hustedt) H. Lange-Bertalot in H. Lange-Bertalot et D. Metzeltin 1996;Navicula submolesta;"134; 138"
CVIX;3;1;1;1;1;4;-;Craticula vixnegligenda;H. Lange-Bertalot 1993;Navicula vixnegligenda;"129; 134"
CVXV;3;2;-;-;3;5;-;Craticula vixvisibilis;(F. Hustedt) H. Lange-Bertalot 1993;"Navicula halophila f. tenuirostris; Navicula vixvisibilis";"129; 134"
CVDI;3;2;-;-;-;-;-;Craticula vixvisibilis var. distinctior;H. Lange-Bertalot 1993;Navicula vixvisibilis var. distinctior;"129; 134"
CTPU;4;4;2;3;3;5;3;Ctenophora pulchella;(J. Ralfs ex F.T. Kützing) D.M. Williams et F.E. Round 1986;"Fragilaria pulchella; Synedra pulchella";"118; 152; 321; 326"
