Volume;Issue;Month;Year;number by year;number total published (number ID);Title;Location;Latitude;Latdd;Latmm;Latddm;Latss;Hemisf;longitude;Longdd;Longmm;Longddm;Longss;Hemisf;proxies;time period;;;
;;;2014;4;60;Climate influences on water and sediment properties of Genovesa Crater Lake, Galápagos;Ecuador;0 19 40 N;0;19;0 19;40;N;89 57 30 W;89;57;89 57;30;W;XRD;Late Holocene;No local affiliations;America;
;;;2014;5;61;Elemental composition of the Laguna Potrok Aike sediment sequence reveals paleoclimatic changes over the past 51 ka in southern Patagonia, Argentina;Argentina;51 57 47,00 S;51;57;51 57;47;S;70 22 46,00 W;70;22;70 22;46;W;Geochemistry, XRF;late Pleistocene, Holocene;;;
;;;2014;6;62;Relatedness between contemporary and subfossil cladoceran assemblages in Turkish lakes;Turkey;39 56 00,11 N;39;56;39 56;0,11;N;32 51 35,07 E;32;51;32 51;35,07;E;Cladocera;modern;;;
;;;2014;7;63;Modern influences on chironomid distribution in western Ireland: potential for palaeoenvironmental reconstruction;Ireland;53 32 27,30 N;53;32;53 32;27,3;N;9 20 39,94 W;9;20;9 20;39,94;W;chironomids;modern;;;
;;;2014;8;64;Historical trends of mercury and spheroidal carbonaceous particle deposition in sub-alpine lakes in the Great Basin, United States;United States ;41 2 2,11 N;41;2;41 2;2,11;N;115 5 37,23 W;115;5;115 5;37,23;W;Mercury, carbonaceous particles;Late Holocene;;;
;;;2014;9;65;Defining drivers of nitrogen stable isotopes (δ15N) of surface sediments in temperate lakes;Canada;45 24 03,57 N;45;24;45 24;3,57;N;71 52 56,74 W;71;52;71 52;56,74;W;stable isotopes;modern;;;
;;;2014;10;66;Radiocarbon dating suitability of aquatic plant macrofossils;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;3;October;2014;11;67;Evidence that excess 210Pb flux varies with sediment accumulation rate and implications for dating recent sediments;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2014;12;68;Recent anthropogenic impact in ancient Lake Ohrid (Macedonia/Albania): a palaeolimnological approach;Macedonia;41 01 34,83 N;41;1;41 1;34,83;N;20 36 20,53 E;20;36;20 36;20,53;E;Geochemistry, osctracods, diatoms;Late Holocene;;;
;;;2014;13;69;The recording of floods and earthquakes in Lake Chichój, Guatemala during the twentieth century;Guatemala;15 21 41,64 N;15;21;15 21;41,64;N;90 28 27,93 W;90;28;90 28;27,93;W;Minerals, grain size;Late Holocene;One local affiliation. Coauthor;America;
;;;2014;14;70;Sedimentary pigments as indicators of cyanobacterial dynamics in a hypereutrophic lake;Canada;46 44 57,66 N;46;44;46 44;57,66;N;71 23 46,71 W;71;23;71 23;46,71;W;Pigments, Cyanobacteria, phytoplankton;Late Holocene;;;
;;;2014;15;71;Proximity to ice fields and lake depth as modulators of paleoclimate records: a regional study from southwest Yukon, Canada;Canada;59 52 44,42 N;59;52;59 52;44,42;N;136 53 39,55 W;136;53;136 53;39,55;W;Cryospheric, chironomids;Late Holocene;;;
;;;2014;16;72;Water level changes in Lake Van, Turkey, during the past ca. 600 ka: climatic, volcanic and tectonic controls;Turkey;38 36 50,37 N;38;36;38 36;50,37;N;42 55 05,34 E;42;55;42 55;5,34;E;Seismic;Late Holocene;;;
;;;2014;17;73;Temporal changes in the contribution of methane-oxidizing bacteria to the biomass of chironomid larvae determined using stable carbon isotopes and ancient DNA;France;46 38 33,04 N;46;38;46 38;33,04;N;5 54 43,74 E;5;54;5 54;43,74;E;Chironomidae, DNA, Stable isotopes;Late Holocene;;;
;;;2014;18;74;Recent environmental change in an upland reservoir catchment: a palaeoecological perspective;England;50 31 22,52 N;50;31;50 31;22,52;N;3 51 24,54 W;3;51;3 51;24,54;W;diatoms, pollen;Late Holocene;;;
;;;2014;19;75;Independent measurement of biogenic silica in sediments by FTIR spectroscopy and PLS regression;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2014;20;76;Locating cryptotephra in lake sediments using fluid imaging technology;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;2014;21;77;Wavelength dispersive X-ray fluorescence spectroscopy as a fast, non-destructive and cost-effective analytical method for determining the geochemical composition of small loose-powder sediment samples;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;2 and 1;August;2014;22;78;Evidence of late Holocene climate variability in the western Nanling Mountains, South China;China;26 10 13,19 N;26;10;26 10;13,19;N;110 07 05,56 E;110;7;110 7;5,56;E;Lithology, geochemistry;Late Holocene;;;
;;;2014;23;79;Middle to late Holocene chironomid-inferred July temperatures for the central Northwest Territories, Canada;Canada;64 15 26 N;64;15;64 15;26;N;110 06 03 W;110;6;110 6;3;W;chironomid;Middle to late Holocene;;;
;;;2014;24;80;Sclerochronological oxygen and carbon isotope ratios in Radix (Gastropoda) shells indicate changes of glacial meltwater flux and temperature since 4,200 cal yr BP at Lake Karakul, eastern Pamirs (Tajikistan);Tayikistan;39 02 23,66 N;39;2;39 2;23,66;N;73 22 07,52 E;73;22;73 22;7,52;E;stable isotopes, gastropods;Late Holocene;;;
;;;2014;25;81;Oxygen isotope variability in calcite shells of the ostracod Cyprideis torosa in Akyatan Lagoon, Turkey;Turkey;36 36 58,71 N;36;36;36 36;58,71;N;35 16 50,72 E;35;16;35 16;50,72;E;Ostracod, stable isotopes;modern;;;
