Volume;Issue;Month;Year;number by year;number total published (number ID);Title;Location;Latitude;Latdd;Latmm;Latddm;Latss;Hemisf;longitude;Longdd;Longmm;Longddm;Longss;Hemisf;proxies;time period;;;
27;4;May;2002;40;1167;An analysis of phytolith assemblages for the quantitativereconstruction of late Quaternary environments of the Lower Taieri Plain,Otago, South Island, New Zealand I. Modern assemblages and transferfunctions;New Zealand;46 00 S;46;0;46 0;;S;170 00 E;170;0;170 0;;E;phytoliths;modern;;;
;;;;41;1168;An analysis of phytolith assemblages for the quantitativereconstruction of late Quaternary environments of the Lower Taieri Plain,Otago, South Island, New Zealand II. Paleoenvironmentalreconstruction;New Zealand;46 00 S;46;0;46 0;;S;170 00 E;170;0;170 0;;E;phytoliths;Late Holocene;;;
;;;;42;1169;Late Holocene local vegetation dynamics in the marsh of Gravgaz(southwest Turkey);Turkey;37 30 N;37;30;37 30;;N;30 30 E;30;30;30 30;;E;pollen;Late Holocene;;;
;;;;43;1170;Sunspot-like and ENSO/NAO-like periodicities in lacustrinelaminated sediments of the Pliocene Villarroya Basin (La Rioja,Spain);Spain;42 17 N;42;17;42 17;;N;02 32 W;2;32;2 32;;W;varves;Pliocene;;;
;;;;44;1171;Diatom-based transfer functions for western Quebec lakes (Abitibiand Haute Mauricie): the possible role of epilimnetic CO2 concentration in influencing diatom assemblages;Canada;48 00 N;48;0;48 0;;N;74 00 W;74;0;74 0;;W;diatoms;modern;;;
;;;;45;1172;A technique for the molecular genetic analysis of Daphnia resting eggs from sub-recent lake sediments;N/A;N/A;;; ;;;N/A;;; ;;;daphnia, DNA;modern;;;
;;;;46;1173;Comment on G. Wansard and F. Mezquita, The response of ostracode shell chemistry to seasonal change in a Mediterranean freshwater spring environment;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;3;April;2002;47;1174;A 1500-year record of climatic and environmental change in ElkLake, Minnesota I: Varve thickness and gray-scale density;United States;47 12 N;47;12;47 12;;N;95 15 W;95;15;95 15;;W;gray scales, varves;Late Holocene;;;
;;;;48;1175;A 1500-year record of climatic and environmental change in ElkLake, Clearwater County, Minnesota II: geochemistry, mineralogy, and stableisotopes;United States;47 12 N;47;12;47 12;;N;95 15 W;95;15;95 15;;W;geochemistry, mineralogy;Late Holocene;;;
;;;;49;1176;A 1500-year record of climatic and environmental change in ElkLake, Minnesota III: measures of past primary productivity;United States;48 12 N;47;12;47 12;;N;96 15 W;95;15;95 15;;W;diatoms;Late Holocene;;;
;;;;50;1177;Orbital forcing signal in sediments of two Amazonianlakes;Brazil;00 05 S;0;5;0 5;;S;70 00 W;70;0;70 0;;W;cations;Late Pleistocene, Holocene;no local affiliations;America;
;;;;51;1178;Limnological conditions in a subarctic lake (northern Québec, Canada) during the late Holocene: analyses based on fossil diatoms;Canada;57 44 N;57;44;57 44;;N;76 09 W;76;9;76 9;;W;diatoms;Late Holocene;;;
;;;;52;1179;Sediment records of phosphorus-driven shifts to phytoplanktondominance in shallow Florida lakes;United States;28 39 N;28;39;28 39;;N;81 39 W;81;39;81 39;;W;phytplankton;Late Holocene;;;
;;;;53;1180;The importance of model choice on pH inferences from scaled chrysophyte assemblages in North America;United States;N/A;;; ;;;N/A;;; ;;;chrysophytes;modern;;;
;2;February;2002;54;1181;WA-PLS diatom-based pH, TP and DOC inference models from 42 lakes in the Abitibi clay belt area (Québec, Canada);Canada;49 00 N;49;0;49 0;;N;79 00 W;79;0;79 0;;W;diatoms;moden;;;
;;;;55;1182;Is laser particle size determination possible for carbonate-rich lake sediments?;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ;  ; ;N/A;N/A;;;
;;;;56;1183;A paleoenvironmental reconstruction of Laguna Babícora, Chihuahua, Mexico based on ostracode paleoecology and trace element shell chemistry;Mexico;29 15 N;29;15;29 15;;N;107 40 W;107;40;107 40;;W;ostracoda;Pleistocene, Holocene;;;
;;;;57;1184;"A Holocene record of allochthonous, aeolian mineral grains in an Australian alpine lake; implications for the history of climate change in southeastern Australia";Australia;30 00 N;30;0;30 0;;N;140 00 E;140;0;140 0;;E;sedimentology;Holocene;;;
;;;;58;1185;Lacustrine and palustrine carbonate petrography: an overview;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;59;1186;Paleolimnological evidence for increased landslide activity due to forest clearing and land-use since 3600 cal BP in the western Swiss Alps;switzerland;46 40 N;46;40;46 40;;N;07 17 E;7;17;7 17;;E;pollen;Late Holocene;;;
;;;;60;1187;Regional assessment of long-term hypolimnetic oxygen changes in Ontario (Canada) shield lakes using subfossil chironomids;Canada;45 30 N;45;30;45 30;;N;78 30 W;78;30;78 30;;W;chironomid;modern;;;
;;;;61;1188;A diatom-based inference model for autumn epilimnetic total phosphorus concentration and its application to a presently eutrophic boreal lake;Finland;63 00 N;63;0;63 0;;N;27 00 E;27;0;27 0;;E;diatoms, geochemistry;Late Holocene;;;
;;;;62;1189;Seed-like hydroptilid larval cases (Insecta: Trichoptera) from Holocene freshwater deposits;Denmark;54 22 N;54;22;54 22;;N;12 06 E;12;6;12 6;;E;caddis flies;Holocene;;;
;;;;63;1190;A new method for visualizing sediment particle size distributions;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;64;1191;Enigmatic Microorganisms and Life in Extreme Environments;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;1;January;2002;65;1192;A ∼6100 14C yr record of El Niño activity from the Galápagos Islands;Ecuador;00 05 S;0;5;0 5;;S;91 30 W;91;30;91 30;;W;varves;middle Holocene;no local affiliations;america;
;;;;66;1193;Diatom-based Holocene paleoenvironmental records from continental sites on northeastern Ellesmere Island, high Arctic, Canada;Canada;82 51 N;82;51;82 51;;N;68 15 W;68;15;68 15;;W;diatoms;Holocene;;;
;;;;67;1194;Palaeolimnology of Lake Piene-Kuuppalanlampi (Kurkijoki, Karelian Republic, Russia): isolation history, lake ecosystem development and long-term agricultural impact;Russia;61 17 N;61;17;61 17;;N;29 55 E;29;55;29 55;;E;pollen;Holocene;;;
;;;;68;1195;A high-resolution diatom reconstruction between 21,000 and 17,4000 14C yr BP from the southern Bolivian Altiplano (18–23°S);Bolivia;15 13 S;15;13;15 13;;S;68 33 W;68;33;68 33;;W;diatoms;pleistocene;no local affiliations;america;
;;;;69;1196;Late-Quaternary history of midge communities and climate from a tundra site near the lower Lena River, Northeast Siberia;Russia;71 52 N;71;52;71 52;;N;127 04 E;127;4;127 4;;E;chironomid;Late Pleistocene, Holocene;;;
;;;;70;1197;Response of the cladoceran community to trophic state change in Lake Apopka, Florida;United States;28 36 N;28;36;28 36;;N;81 38 W;81;38;81 38;;W;cladocera, nutrients;Late Holocene;;;
;;;;71;1198;Diatom and chrysophyte functions and inferences of post-industrial acidification and recent recovery trends in Killarney lakes (Ontario, Canada);Canada;46 29 N;46;29;46 29;;N;80 59 W;80;59;80 59;;W;diatoms;Late Holocene;;;
;;;;72;1199;Diatoms as indicators of climatic and limnological change in Swedish Lapland: a 100-lake calibration set and its validation for paleoecological reconstructions;Sweden;67 30 N;67;30;67 30;;N;19 00 E;19;0;19 0;;E;diatoms;modern;;;
;;;;73;1200;Influence of vegetation change on watershed hydrology: implications for paleoclimatic interpretation of lacustrine δ18O records;Guatemala;16 58 N;16;58;16 58;;N;89 40 W;89;40;89 40;;W;geochemistry;Late Holocene;no local affiliations;america;
;;;;74;1201;Reconstructing the historical changes in Daphnia mean size and planktivorous fish abundance in lakes from the size of Daphnia ephippia in the sediment;Denmark;55 58 N;55;58;55 58;;N;09 29 E;9;29;9 29;;E;zooplankton;Late Holocene;;;
;;;;75;1202;The LOG corer – a new device for obtaining short cores in soft lacustrine sediments;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
26;4;November;2001;1;1203;The world's large lake basins as denudation-accumulation systems and implications for their lifetimes;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;2;1204;Establishment of wetlands on the southeastern Atlantic Coastal Plain: Paleolimnological evidence of a mid-Holocene hydrologic threshold from a South Carolina pond;United States;33 05 N;33;5;33 5;;N;81 35 W;81;35;81 35;;W;diatoms;middle Holocene;;;
;;;;3;1205;Statistical analysis of modern seed assemblages from the San Francisco Bay: applications for the reconstruction of paleo-salinity and paleo-tidal inundation;United States;38 00 N;38;0;38 0;;N;122 30 W;122;30;122 30;;W;fossil seeds;middle Holocene;;;
;;;;4;1206;A comparison between diatom-based pH inference models using Artificial Neural Networks (ANN), Weighted Averaging (WA) and Weighted Averaging Partial Least Squares (WA-PLS) regressions;Canada;N/A;;; ;;;N/A;;; ;;;diatoms;modern;;;
;;;;5;1207;Redox remobilization and the heavy metal record in lake sediments: a modelling approach;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;3;September;2001;6;1208;Kerry R. Kelts (1947–2001);N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;7;1209;Historical rates of sediment and nutrient accumulation in marshes of the Upper St. Johns River Basin, Florida, U.S.A.;United States;27 41 N;27;41;27 41;;N;80 43 W;80;43;80 43;;W;nutrients ;Late Holocene;;;
;;;;8;1210;A chironomid‐based model for inferring late‐summer hypolimnetic oxygen in southeastern Ontario lakes;Canada;N/A;;; ;;;N/A;;; ;;;chironomid;modern;;;
;;;;9;1211;The sedimentary and geochemical record of Neogene-Quaternary water bodies in the Dead Sea Basin - inferences for the regional paleoclimatic history;Israel;32 05 N;32;5;32 5;;N;34 46 E;34;46;34 46;;E;evaporites;Neogene;;;
;;;;10;1212;Lacustrine organic matter and the Holocene paleoenvironmental record of Lake Albano (central Italy);Italy;41 44 N;41;44;41 44; ;N;12 40 E;12;40;12 40;;E;pigments, nutrientes;Holocene;;;
;;;;11;1213;A 2500 year sediment record from Fayetteville Green Lake, New York: evidence for anthropogenic impacts and historic isotope shift;United States;43 03 N;43;3;43 3;;N;78 58 W;78;58;78 58;;W;stable isotopes;Late Holocene;;;
;;;;12;1214;Chironomids as indicators of climate change: a 100‐lake training set from a subarctic region of northern Sweden (Lapland);Sweden;67 30 N;67;30;67 30;;N;20 00 E;20;0;20 0;;E;chironomid;modern;;;
;;;;13;1215;Sub-sampling unconsolidated sediments: A solution for the preparation of undistrubed thin-sections from clay‐rich sediments;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;14;1216;Setting minimum head capsule abundance and taxa deletion criteria in chironomid-based inference models;Canada;N/A;;; ;;;N/A;;; ;;;chironomid;modern;;;
;;;;15;1217;Effect of low count sums on quantitative environmental reconstructions: an example using subfossil chironomids;switzerland;46 46 N;46;46;46 46;;N;08 21 E;8;21;8 21;;E;chironomid;modern;;;
;;;;16;1218;Environmental Micropaleontology: The Application of Microfossils to Environmental Geology;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;17;1219;Principles of Paleoclimatology, Thomas M. Cronin;N/A;N/A;;; ;;;N/A; ; ;   ; ; ;N/A;N/A;;;
;2;August;2001;18;1220;Paleohydrological investigation of Infernão Lake, Moji-Guaçcu River watershed, São Paulo, Brazil;Brazil;21 33 S;21;33;21 33;;S;47 45 W;47;45;47 45;;W;geochemistry;Late Holocene;;;
;;;;19;1221;Lacustrine oxygen isotope record of 20th-century climate change in central EuropeL evaluation of climatic controls on oxygen isotopes in precipitation;Switzerland;47 10 N;47;10;47 10;;N;08 17 E;8;17;8 17;;E;stable isotopes;Late Holocene;;;
;;;;20;1222;Chironomid-based paleosalinity records in southern British Columbia, Canada: a comparison of transfer functions;Canada;51 40 N;51;40;51 40;;N;121 27 W;121;27;121 27;;W;chironomid;modern;;;
;;;;21;1223;Lacustrine basin hydrocarbon exploration – current thoughts;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;22;1224;Reconstructing nutrient histories in the Norfolk Broads, UK: implications for the role of diatom-total phosphorus transfer functions in shallow lake management;United kingdom;52 44 N;52;44;52 44;;N;01 29 E;1;29;1 29;;E;diatoms, nutrients ;Late Holocene;;;
;;;;23;1225;Seasonal variation in stable oxygen and carbon isotope values recovered from modern lacustrine freshwater mollusks: paleoclimatological implications for sub-weekly temperature records;United States;42 00 N;42;0;42 0;;N;78 45 W;78;45;78 45;;W;stable isotopes;;;;
;;;;24;1226;Coring and extruding sediments from shall lakes with the simple, inexpensive VolksCorer and VolksExtruder;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;25;1227;Water Pollution – Methods and Criteria to Rank, Model and Remediate Chemical Threats to Aquatic Ecosystems, L. Hâkanson;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;26;1228;Past Global Changes and Their Significance for the Future;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;27;1229;The Ecology of Freshwater Molluscs;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;28;1230;The Structuring Role of Submerged Macrophytes in Lakes, E. Jeppesen, M. Søndergaard, M. Søndergaard and K. Christoffersen;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;1;June;2001;29;1231;Lead analysis of sediment cores from seven Connecticut lakes;United States;41 36 N;41;36;41 36;;N;73 05W;73;5;73 5;;W;lead isotopes;Late Holocene;;;
;;;;30;1232;Pulp and paper mill pollution and subsequent ecosystem recovery of a large boreal lake in Finland: a paleolimnological analysis;Finland;61 10 N;61;10;61 10;;N;25 30 E;25;30;25 30;;E;diatoms, chironomids;Late Holocene;;;
;;;;31;1233;Late Pleistocene-Holocene paleolimnology of three north-western Russian lakes;Russia;62 00 N;62;0;62 0;;N;30 00 E;30;0;30 0;;E;diatoms, pollen;Late Pleistocene, Holocene;;;
;;;;32;1234;Biogeochemistry of silica in Devils Lake: implications for diatom preservation;United States;48 06 N;48;6;48 6;;N;98 51 W;98;51;98 51;;w;diatoms;Holocene;;;
;;;;33;1235;The postglacial environmental development of Raffles Sø, East Greenland: inferences from a 10,000 year diatom record;Greenland;70 36 N;70;36;70 36;;N;21 32 W;2;32;2 32;;W;diatoms;Holocene;;;
;;;;34;1236;Heavy metal pollution and lake acidity changes caused by one thousand years of copper mining at Falun, central Sweden;Sweden;60 40 N;60;40;60 40;;N;15 40 E;15;40;15 40;;E;diatoms, metals;Late Holocene;;;
;;;;35;1237;Acid Mining Lakes;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;36;1238;Quaternary Climates, Environments and Magnetism;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;37;1239;Natural Environmental Change, A.M. Mannion;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;38;1240;Stratigraphic Systems: Origin and Aplication, Glenn S. Visher;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
25;4;May;2001;39;1241;Late-Glacial/Holocene succession of the chironomid and cladoceran fauna of the Soppensee (Central Switzerland);Switzerland;47 05 N;47;5;47 5;;N;08 04 E;8;4;8 4;;E;chironomidae, cladocera;Late Pleistocene, Holocene;;;
;;;;40;1242;Four thousand years of atmospheric lead pollution in northern Europe: a summary from Swedish lake sediments;Sweden;56 35 N;56;35;56 35;;N;15 43 E;15;43;15 43;;E;lead isotopes;middle Holocene;;;
;;;;41;1243;The paleoecological record of human disturbance in wetlands of the Lake Tahoe Basin;United States;39 05 N;39;5;39 5;;N;120 01 W;120;1;120 1;;W;pollen;Late Holocene;;;
;;;;42;1244;210Pb and 137Cs dating methods in lakes: A retrospective study;United States;41 20 N;41;20;41 20;;N;72 54 W;72;54;72 54;;W;metals, dating;Late Holocene;;;
;;;;43;1245;Response of alpine chironomid communities (Lake Chuna, Kola Peninsula, northwestern Russia) to atmospheric contamination;Russia;65 57 N;65;57;65 57;;N;32 29 E;32;29;32 29;;E;chironomid;Late Holocene;;;
;;;;44;1246;Retrospective simulation of lake-level rise in Lake Bonney based on recent 21-year record: indication of recent climate change in the McMurdo Dry Valleys, Antarctica;Antarctica;77 45 S;77;45;77 45;;S;162 15 E;162;15;162 15;;E;hidrology;modern;;;
;;;;45;1247;On the use of instar information in the analysis of subfossil chironomid data;Ireland;54 35 N;54;35;54 35;;N;06 24 W;6;24;6 24;;W;chironomid;Holocene;;;
;;;;46;1248;Little Ice Age recorded in summer temperature reconstruction from vared sediments of Donard Lake, Baffin Island, Canada;Canada;66 30 N;66;30;66 30;;N;62 00 W;62;0;62 0;;W;varves;Late Holocene;;;
;;;;47;1249;Luminescence-dating zeroing tests in Lake Hoare, Taylor Valley, Antarctica;Antarctica;77 37 S;77;37;77 37;;S;162 52 E;162;52;162 52;;E;geochronology;Holocene;;;
;;;;48;1250;Digital sediment colour analyses, DSCA, of lake sediments - pitfalls and potentials;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;49;1251;The use of egg shells to infer the historical presence of copepods in alpine lakes;United States;37 27 N;37;27;37 27;;N;118 42 W;118;42;118 42;;W;copepods;Late Holocene;;;
;;;;50;1252;Conservation Management of Freshwater Habitats - Lakes, Rivers, and Wetlands, P.S. Maitland & N.C. Morgan;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;51;1253;Beyond El Niño: Decadal and Interdecadal Climate Variability;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;3;April;2001;52;1254;Long-term climato-limnological cycles found in a 3.5-million-year continental record;Russia;53 41 N;53;41;53 41;;N;108 31 E;108;31;108 31;;E;magnetic susceptibility;Pliocene;;;
;;;;53;1255;Diatom-based ionic concentration and salinity models from the south Bolivian Altiplano (15–23 ° S;Bolivia;18 40 S;18;40;18 40;;S;67 10 W;67;10;67 10;;W;diatoms;modern;no local affiliations;America;
;;;;54;1256;Reconstructing fluctuations of a shallow East African lake during the past 1800 yrs from sediment stratigraphy in a submerged crater basin;Kenya;0 46 S;0;46;0 46;;S;36 22 E;36;22;36 22;;E;diatoms;Late Holocene;No local affiliations;Africa;
;;;;55;1257;Paleoecological analysis of molluscan assemblages in two marl deposits in Waterloo Region, southwestern Ontario, Canada;Canada;43 26 N;43;26;43 26;;N;80 31 W;80;31;80 31;;W;molluscs;Late Holocene;;;
;;;;56;1258;A ~4500 yr record of river floods obtained from a sediment core in Lake Atnsjøen, eastern Norway;Norway;61 53 N;61;53;61 53;;N;10 08 E;10;8;10 8;;E;river sediments;mid Holocene;;;
;;;;57;1259;Oxygen isotope analysis of diatom silica and authigenic calcite from Lake Pinarbasi, Turkey;Turkey;37 28 N;37;28;37 28;;N;33 07 W;33;7;33 7;;W;stable isotopes;Late Holocene;;;
;;;;58;1260;A record of hypolimnetic oxygen conditions in a temperate multi-depression lake from chemical evidence and chronomid remains;United States;45 35 N;45;35;45 35;;N;84 41 W;84;41;84 41;;W;chironomidae, pigments;Late Holocene;;;
;;;;59;1261;Retene and resin acid concentrations in sediment profiles of a lake recovering from exposure to pulp mill effluents;Finland;62 18 N;62;18;62 18;;N;26 08 E;26;8;26 8;;E;resin acids;Late Holocene;;;
;;;;60;1262;Quantitative models for reconstructing catchment ice-extent using physical-chemical characteristics of lake sediments;Antarctica;60 43 S;60;43;60 43;;S;45 38 W;45;38;45 38;;W;lithology, particle size, magnetism;modern;;;
;;;;61;1263;Diatom taxonomy for paleolimnologists;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;62;1264;Economical digital photomicroscopy;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;63;1265;Sex and Parthenogenesis - Evolutionary Ecology of Reproductive Modes in Non-Marine Ostracods;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;64;1266;Lake Baikal – Evolution and Biodiversity;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;2;February;2001;65;1267;The multi-proxy late-Pleistocene and Holocene record from the sediments of the Grand Lac d'Annecy, eastern France;France;45 49 N;45;49;45 49;;N;06 12 E;6;12;6 12;;E;multi proxy;Late Pleistocene, Holocene;;;
;;;;66;1268;The lacustrine depression at Annecy (France), geological setting and Quaternary evolution;France;45 49 N;45;49;45 49;;N;06 12 E;6;12;6 12;;E;sedimentology;Late Pleistocene, Holocene;;;
;;;;67;1269;The late Quaternary sedimentary infill of Lake Annecy (northwestern Alps): an overview from two seismic-reflection surveys;France;45 49 N;45;49;45 49;;N;06 12 E;6;12;6 12;;E;seismic stratigraphy;Late Pleistocene, Holocene;;;
;;;;68;1270;Chronology and depositional processes of the laminated sediment record from Lac d'Annecy, French Alps;France;45 49 N;45;49;45 49;;N;06 12 E;6;12;6 12;;E;stable isotopes;Late Pleistocene, Holocene;;;
;;;;69;1271;Evolution of clay mineral assemblages and organic matter in the late glacial-Holocene sedimentary infill of Lake Annecy, (northwestern Alps): paleoenvironmental implications;France;45 49 N;45;49;45 49;;N;06 12 E;6;12;6 12;;E;geochemistry;Late Pleistocene, Holocene;;;
;;;;70;1272;The environmental significance of magnetic measurements of Late Pleistocene and Holocene sediments from the Grand Lac d'Annecy, eastern France;France;45 49 N;45;49;45 49;;N;06 12 E;6;12;6 12;;E;sedimentology, environmental magnetism;Late Pleistocene, Holocene;;;
;;;;71;1273;Evolution of the trophic state of Lake Annecy (eastern France) since the last glaciation as indicated by iron, manganese and phosphorus speciation;France;45 49 N;45;49;45 49;;N;06 12 E;6;12;6 12;;E;carbonates, elemental analysis;Late Pleistocene, Holocene;;;
;;;;72;1274;Early and late Holocene water-level fluctuations of Lake Annecy, France: sediment and pollen evidence and climatic implications;France;45 49 N;45;49;45 49;;N;06 12 E;6;12;6 12;;E;pollen;Late Pleistocene, Holocene;;;
;;;;73;1275;Human impact and soil erosion during the last 5000 yrs as recorded in lacustrine sedimentary organic matter at Lac d'Annecy, the French Alps;France;45 49 N;45;49;45 49;;N;06 12 E;6;12;6 12;;E;palynofacies;Late Pleistocene, Holocene;;;
;;;;74;1276;Preliminary reconstruction of sediment-source linkages for the past 6000 yr at the Petit Lac d'Annecy, France, based on mineral magnetic data;France;45 49 N;45;49;45 49;;N;06 12 E;6;12;6 12;;E;mineral magnetism;middle Holocene;;;
;;;;75;1277;Palyno- and chronostratigraphy of a long sequence from Lac d'Annecy (northern outer Alps, France);France;45 49 N;45;49;45 49;;N;06 12 E;6;12;6 12;;E;pollen;Late Pleistocene, Holocene;;;
;1;January;2001;76;1278;Anthropogenic nitrogen deposition induces rapid ecological changes in alpine lakes of the Colorado Front Range (USA);United States;40 16 N;40;16;40 16;;N;105 40 W;105;40;105 40;;W;diatoms, stable isotopes;Late Holocene;;;
;;;;77;1279;The response of ostracod shell chemistry to seasonal change in a Mediterranean freshwater spring environment;Spain;55 49 N;55;49;55 49;;N;00 24 W;0;24;0 24;;W;ostracod, elemental ratios;modern;;;
;;;;78;1280;Climatically relevant periodicities in the thickness of biogenic carbonate varves in Spooensee, Switzerland (9740-6870 calendar yr BP);Switzerland;47 05 N;47;5;47 5;;N;08 05 E;8;5;8 5;;E;varves;Holocene;;;
;;;;79;1281;Diatom-environmental relationships in 64 alkaline southeastern Ontario (Canada) lakes: a diatom-based model for water quality reconstructions;Canada;44 45 N;44;45;44 45;;N;78 12 W;78;12;78 12;;W;diatoms;modern;;;
;;;;80;1282;Oxygen isotope ratios of organic matter in arctic lakes as a paleoclimate proxy: field and laboratory investigations;Canada;70 00 N;70;0;70 0;;N;75 00 W;75;0;75 0;;W;cellullose ;moden;;;
;;;;81;1283;The palaeolimnology of Soppensee (Central Switzerlabnd), as evidenced by diatom, pollen, and fossil-pigment analyses;Switzerland;47 05 N;47;5;47 5;;N;08 05 E;8;5;8 5;;E;nutrients, diatoms, pollen, pigments;Holocene;;;
;;;;82;1284;An identification guide to subfossil Tanypodinae larvae (Insecta: Diptera: Chrironomidae) based on cephalic setation;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;83;1285;Loss on ignition as a method for estimating organic and carbonate content in sediments: reproducibility and comparability of results;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;84;1286;Maximum likelihood environmental calibration and the compute program WACALIB a correction;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;85;1287;"A rod-less piston corer for lake sediments; an improved, rope-operated percussion corer";N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;86;1288;National lacustrine core repository (LacCore);N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;87;1289;Diatoms of Low Alkalinity Lakes in the Northeastern United States;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
;;;;88;1290;Limnology of Humic Waters. Edited by J. Keskitalo & P. Eloranta;N/A;N/A;;; ;;;N/A;;; ;;;N/A;N/A;;;
24;4;November;2000;1;1291;Use of paleolimnology to document the effect of lake shoreland development on water quality;United States;43 08 N;43;8;43 8;;N;88 24 W;88;24;88 24;;W;diatoms, geochemistry;Late Holocene;;;
;;;;2;1292;A first estimate of organic carbon storage in Holocene lake sediments in Alberta, Canada;Canada;53 55 N;53;55;53 55;;N;116 34 W;116;34;116 34;;W;organic matter;modern;;;
;;;;3;1293;Paleoecology and its application to fire and vegetation management in Kootenay National Park, British Columbia;Canada;50 46 N;50;46;50 46;;N;115 55 W;115;55;115 55;;W;pollen, charcoal;Holocene;;;
;;;;4;1294;Determination of carbon, carbonate, nitrogen, and phosphorus in freshwater sediments by near-infrared reflectance spectroscopy: Rapid analysis and a check on conventional analytical methods;Canada;50 39 N;50;39;50 39;;N;96 47 W;96;47;96 47;;W;nutrients;modern;;;
;;;;5;1295;The late Holocene paleohydrology of Pine Lake, Alberta: a multiproxy investigation;Canada;52 04 N;52;4;52 4;;N;113 27 W;113;27;113 27;;W;pollen, mineralogy;Late Holocene;;;
;3;September;2000;6;1296;A Bayesian multinomial Gaussian response model for organism-based environmental reconstruction;N/A;N/A; ; ;   ; ; ;N/A; ; ;   ; ; ;N/A;N/A;;;
;;;;7;1297;Importance of diffuse nutrient loading and lake level changes to the eutrophication of an originally oligotrophic boreal lake: a palaeolimnological diatom and chironomid analysis;Finland;63 00 N;63;0;63 0;;N;23 30 E;23;30;23 30;;E;diatoms, chironomids;Late Holocene;;;
;;;;8;1298;An early Holocene oxygen isotope record from the Olson buried forest bed, Southern Lake Michigan;United States;41 49 N;41;49;41 49;;N;87 18 W;87;18;87 18;;W;stable isotopes;Holocene;;;
;;;;9;1299;The role of biogeochemical cycling for the formation and preservation of varved sediments in Soppensee (Switzerland);Switzerland;47 05 N;47;5;47 5;;N;08 04 E;8;4;8 4;;E;varves, carbon;Late Holocene;;;
;;;;10;1300;Paleogeography of Lake Agassiz and regional post-glacial uplift history of the Flin Flon region, central Manitoba and Saskatchewan;Canada;53 00 N;53;0;53 0;;N;102 00 W;102;0;102 0;;W;sedimetology;Pleistocene;;;
;;;;11;1301;Short-code paleolimnological investigation of Lake Pihlajavesi in the Saimaa Lake complex, eastern Finalnd: assessment of habitat quality of an endemic and endangered seal population;Finland;61 42 N;61;42;61 42;;N;28 54 E;28;54;28 54;;E;diatoms, chironomids;Late Holocene;;;
;;;;12;1302;Palynological study of Holocene sediments from Lake Doirani in northern Greece;Greece;41 10 N;41;10;41 10;;N;22 42 E;22;42;22 42;;E;pollen;Late Holocene;;;
;;;;13;1303;Paleohydrology of Andean saline lakes from sedimentological and isotopic records, Northwestern Argentina;Argentina;26 56 S;26;56;26 56;;S;68 08W;68;8;68 8;;W;stable isotopes;Holocene;;;
